update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
631,0.103359375,RL-sBOED,0.623013973236084,40384,3.8052289485931396,,,,,,
632,0.1121484375,RL-sBOED,0.6228466033935547,40448,3.8216922283172607,,,,,,
633,0.11179687499999999,RL-sBOED,0.6235184669494629,40512,3.8165347576141357,,,,,,
634,0.1128515625,RL-sBOED,0.6232335567474365,40576,3.8132455348968506,,,,,,
635,0.11742187500000001,RL-sBOED,0.6228218078613281,40640,3.796633243560791,,,,,,
636,0.11109375,RL-sBOED,0.6196136474609375,40704,3.818711042404175,,,,,,
637,0.09984375000000001,RL-sBOED,0.6234438419342041,40768,3.813755512237549,,,,,,
638,0.103359375,RL-sBOED,0.6242802143096924,40832,3.814465045928955,,,,,,
639,0.10546875,RL-sBOED,0.6239950656890869,40896,3.8051528930664062,,,,,,
640,0.11671875000000001,RL-sBOED,0.6231732368469238,40960,3.8220982551574707,,,,,,
641,0.11531250000000001,RL-sBOED,0.6194589138031006,41024,3.8015289306640625,,,,,,
642,0.118125,RL-sBOED,0.6235673427581787,41088,3.7873237133026123,,,,,,
643,0.0987890625,RL-sBOED,0.6226747035980225,41152,3.7808544635772705,,,,,,
644,0.10898437500000001,RL-sBOED,0.6229870319366455,41216,3.826941728591919,,,,,,
645,0.1001953125,RL-sBOED,0.6233124732971191,41280,3.835283041000366,,,,,,
646,0.10828125000000001,RL-sBOED,0.6226503849029541,41344,3.8426411151885986,,,,,,
647,0.1121484375,RL-sBOED,0.6221175193786621,41408,3.86676287651062,,,,,,
648,0.10863281250000001,RL-sBOED,0.6237409114837646,41472,3.8657143115997314,,,,,,
649,0.1156640625,RL-sBOED,0.6223227977752686,41536,3.8502938747406006,,,,,,
