update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
433,0.16453124582767487,0.16453124582767487,RL-sBOED,0.03184771537780762,27712,3.334044933319092,,,,,,,,,,
434,0.18515625596046448,0.18515625596046448,RL-sBOED,0.03189396858215332,27776,3.332906723022461,,,,,,,,,,
435,0.19171875715255737,0.19171875715255737,RL-sBOED,0.0315546989440918,27840,3.327202558517456,,,,,,,,,,
436,0.17765626311302185,0.17765626311302185,RL-sBOED,0.032071590423583984,27904,3.3184714317321777,,,,,,,,,,
437,0.15703125298023224,0.15703125298023224,RL-sBOED,0.03183341026306152,27968,3.307523727416992,,,,,,,,,,
438,0.1692187488079071,0.1692187488079071,RL-sBOED,0.03182530403137207,28032,3.2934272289276123,,,,,,,,,,
439,0.18046875298023224,0.18046875298023224,RL-sBOED,0.032292842864990234,28096,3.2767906188964844,,,,,,,,,,
440,0.16593751311302185,0.16593751311302185,RL-sBOED,0.03167295455932617,28160,3.2647151947021484,,,,,,,,,,
441,0.17109376192092896,0.17109376192092896,RL-sBOED,0.03201937675476074,28224,3.2408180236816406,,,,,,,,,,
442,0.1875,0.1875,RL-sBOED,0.0317845344543457,28288,3.216303586959839,,,,,,,,,,
443,0.16171875596046448,0.16171875596046448,RL-sBOED,0.03176569938659668,28352,3.225543737411499,,,,,,,,,,
444,0.15843750536441803,0.15843750536441803,RL-sBOED,0.031949520111083984,28416,3.235729217529297,,,,,,,,,,
445,0.17578125,0.17578125,RL-sBOED,0.0319666862487793,28480,3.246239423751831,,,,,,,,,,
446,0.16875000298023224,0.16875000298023224,RL-sBOED,0.03173255920410156,28544,3.251410484313965,,,,,,,,,,
447,0.17625001072883606,0.17625001072883606,RL-sBOED,0.03169083595275879,28608,3.251589298248291,,,,,,,,,,
