rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
263,3,1 3 21,3.6164035 6.6411886 3.0095343,1.0,1.0,0.5,0.5999999996592296,0.5,True,False,False,False
264,2,12 2 16,1.9477408 1.8861087 2.1160337,1.0,0.8,0.3,0.250037026026931,0.5,True,True,True,False
265,5,11 15 20,1.9132271 1.4353964 1.4582067,1.0,0.9,0.25,0.2571923635691402,0.65,True,True,True,False
266,7,23 12 16,4.9997189 1.3409215 3.2580277,1.0,1.0,0.6,0.5999999999999335,0.4,True,False,False,False
267,11,24 9 27,3.5021538 3.2946749 1.2119614,1.0,1.0,0.1,0.35934855079343275,0.9,True,False,False,False
268,8,8 27 0,6.0119821 1.8185053 1.4396691,1.0,0.9,0.1,0.35,0.8,True,True,True,False
269,0,8 22 15,2.9435517 2.7723895 1.7891645,1.0,0.9,0.1,0.3499992305780143,0.8,True,True,True,False
270,7,9 21 26,6.0258811 3.095107 2.664259,1.0,1.0,0.6,0.45,0.4,True,False,False,False
271,6,0 27 17,1.3950823 1.4853012 1.5634367,1.0,1.0,0.6,0.4774778431010104,0.4,True,False,False,False
272,6,19 17 2,2.8682479 1.2685925 1.2819379,1.0,1.0,0.6,0.4015087935537577,0.4,True,False,False,False
273,1,20 17 29,2.3157752 1.96472 7.7967705,1.0,0.9,0.1,0.34999999725423747,0.8,True,True,True,False
274,14,3 5 11,4.7065548 2.5453958 2.10709,1.0,0.9,0.3,0.3,0.6000000000000001,True,True,True,False
275,9,27 1 7,1.6483883 2.1800958 1.2659483,1.0,0.9,0.35,0.30554983683184495,0.55,True,True,True,False
276,4,22 18 28,1.5884372 3.0049889 3.1671891,1.0,0.9,0.4,0.2927799277921095,0.5,True,True,True,False
277,10,5 10 21,1.2211204 1.555637 1.3634891,1.0,0.7,0.15,0.08988238934349076,0.5499999999999999,True,True,True,False
278,3,12 8 29,1.8166836 6.5187252 5.0472327,1.0,0.9,0.5,0.35,0.4,True,True,True,False
279,14,9 14 6,3.1141105 3.1554941 2.1832445,1.0,0.9,0.3,0.3000514268315624,0.6000000000000001,True,True,True,False
280,12,27 28 29,1.6111449 3.9561869 2.6393287,1.0,0.7,0.6,0.15000004297376998,0.09999999999999998,True,True,True,False
281,13,20 3 6,2.190156 3.3522709 2.8564626,1.0,1.0,0.45,0.4003592258637663,0.55,True,False,False,False
282,13,12 5 11,1.2339792 1.6939448 2.952384,1.0,1.0,0.45,0.44980109753705927,0.55,True,False,False,False
283,8,17 14 16,1.5001018 2.5248615 1.4586114,1.0,0.8,0.1,0.2492162916216723,0.7000000000000001,True,True,True,False
284,10,19 4 5,4.8699787 4.6279323 1.432887,1.0,1.0,0.15,0.44944988768976557,0.85,True,False,False,False
285,15,29 4 7,2.4468693 2.275455 1.013936,1.0,1.0,0.2,0.40317699746091235,0.8,True,False,False,False
286,5,26 17 24,1.7307345 2.499962 2.4279669,1.0,0.7,0.25,0.14993279614068367,0.44999999999999996,True,True,True,False
287,15,2 5 0,0.97315839 2.9666011 2.7409958,1.0,0.9,0.2,0.34999993630461795,0.7,True,True,True,False
288,6,9 2 3,2.8573696 1.1255399 3.4340799,1.0,0.7,0.6,0.15162125568267903,0.09999999999999998,True,True,True,False
289,0,5 0 22,1.6486653 1.4730409 2.8880624,1.0,0.9,0.1,0.30005191700747186,0.8,True,True,True,False
290,14,17 26 2,1.2949834 1.6752867 1.0727469,1.0,0.9,0.3,0.26696539400062136,0.6000000000000001,True,True,True,False
291,9,1 12 8,2.1775331 1.3868319 7.0154293,1.0,0.8,0.35,0.2500008554109707,0.45000000000000007,True,True,True,False
292,5,29 27 11,2.551528 2.8302623 1.9107641,1.0,0.7,0.25,0.14997560627729947,0.44999999999999996,True,True,True,False
293,12,9 17 28,2.5049071 1.4373724 3.9624552,1.0,0.7,0.6,0.1500658832216919,0.09999999999999998,True,True,True,False
294,0,29 25 8,4.2926812 1.9693881 3.1970172,1.0,0.9,0.1,0.24520710947002003,0.8,True,True,True,False
295,12,20 2 14,2.3900249 1.2007714 2.2871606,1.0,0.9,0.6,0.29991058561402173,0.30000000000000004,True,True,True,False
296,3,6 23 13,3.2756729 6.8975025 6.6662718,1.0,0.9,0.5,0.35000000000000003,0.4,True,True,True,False
297,0,26 17 28,1.4221637 2.4685367 3.3599234,1.0,0.7,0.1,0.1304576156972763,0.6,True,True,True,False
298,1,23 14 1,4.7260831 6.7530849 1.7214499,1.0,0.8,0.1,0.25,0.7000000000000001,True,True,True,False
299,12,17 6 16,1.4194895 3.7132827 3.1761703,1.0,1.0,0.6,0.6000000000000001,0.4,True,False,False,False
300,8,14 6 13,2.5659856 1.5767037 5.9620143,1.0,0.6,0.1,0.05,0.5,True,True,True,False
301,1,15 12 11,2.3709276 1.751646 1.8197044,1.0,0.8,0.1,0.16284682604688666,0.7000000000000001,True,True,True,False
302,4,12 11 24,1.5377899 2.6410305 2.2585218,1.0,1.0,0.4,0.3999999896774438,0.6,True,False,False,False
303,10,14 0 8,4.6646635 1.386728 3.3006468,1.0,1.0,0.15,0.45,0.85,True,False,False,False
304,14,24 4 1,3.2799774 3.155036 2.2593002,1.0,0.9,0.3,0.30015655218341064,0.6000000000000001,True,True,True,False
305,13,20 2 7,2.1472909 1.1625994 1.2504568,1.0,0.8,0.45,0.24199643564229084,0.35000000000000003,True,True,True,False
306,4,23 3 5,3.0631445 3.033404 1.1314609,1.0,0.9,0.4,0.2629257423468407,0.5,True,True,True,False
307,7,15 7 2,1.4147189 1.386111 1.2801758,1.0,0.9,0.6,0.3386722216698754,0.30000000000000004,True,True,True,False
308,11,22 0 7,1.3823161 2.5688908 1.0539788,1.0,0.9,0.1,0.3001204936121692,0.8,True,True,True,False
309,15,15 14 7,3.2982967 2.2236758 1.0913757,1.0,0.8,0.2,0.2500001552872838,0.6000000000000001,True,True,True,False
310,15,2 25 4,1.0285595 3.8341742 2.254673,1.0,0.8,0.2,0.25079777253965496,0.6000000000000001,True,True,True,False
311,14,19 0 28,3.249294 2.3631059 5.2812141,1.0,0.9,0.3,0.3,0.6000000000000001,True,True,True,False
312,1,25 3 27,2.4140127 4.4228225 2.4128582,1.0,1.0,0.1,0.5999999999963108,0.9,True,False,False,False
313,9,6 8 7,2.0817161 7.0988671 1.3479603,1.0,0.8,0.35,0.2500000000001465,0.45000000000000007,True,True,True,False
314,1,23 16 28,4.7235418 1.6935216 4.79045,1.0,0.9,0.1,0.24753381405404332,0.8,True,True,True,False
315,5,7 3 29,2.2879692 6.1516321 2.515249,1.0,0.6,0.25,0.050000000001674046,0.35,True,True,True,False
316,7,18 19 23,4.9425025 6.3453205 5.0071138,1.0,1.0,0.6,0.45,0.4,True,False,False,False
317,10,11 23 7,1.5427962 3.5499904 2.1186519,1.0,0.7,0.15,0.149999999999023,0.5499999999999999,True,True,True,False
318,3,26 3 0,2.6441646 6.5921771 1.7376017,1.0,0.9,0.5,0.34999999999999987,0.4,True,True,True,False
319,10,28 1 12,3.6718964 1.7480234 2.252927,1.0,0.7,0.15,0.1500000028814758,0.5499999999999999,True,True,True,False
320,14,14 11 22,3.0919738 2.1673202 1.3094323,1.0,0.9,0.3,0.2999999953221633,0.6000000000000001,True,True,True,False
321,7,11 10 13,3.6390669 1.2726666 4.8402009,1.0,1.0,0.6,0.6,0.4,True,False,False,False
322,14,14 21 2,3.1216897 1.7868228 1.0456451,1.0,0.9,0.3,0.2996443792090026,0.6000000000000001,True,True,True,False
323,11,29 1 22,3.7996776 1.5532683 1.1976991,1.0,0.8,0.1,0.20000000000010934,0.7000000000000001,True,True,True,False
324,3,21 8 28,2.9108 6.6711593 7.3267121,1.0,0.9,0.5,0.35000000000000003,0.4,True,True,True,False
325,15,7 15 2,1.0615059 3.1228767 1.024443,1.0,0.9,0.2,0.34991254901792695,0.7,True,True,True,False
326,10,25 28 12,1.7088554 3.636362 2.361269,1.0,0.9,0.15,0.3490713408350973,0.75,True,True,True,False
327,8,26 16 2,1.4254398 1.3840452 1.4410403,1.0,0.7,0.1,0.10000000366486231,0.6,True,True,True,False
328,4,2 18 17,1.479419 3.0158098 1.6643961,1.0,0.9,0.4,0.2329683482330455,0.5,True,True,True,False
329,8,7 5 8,1.4256938 1.4951973 6.025386,1.0,0.9,0.1,0.3499999999999999,0.8,True,True,True,False
330,7,8 10 6,4.6405273 1.4365886 3.636338,1.0,1.0,0.6,0.5999999999999984,0.4,True,False,False,False
331,1,9 26 13,6.5546726 1.5962723 4.4775552,1.0,0.8,0.1,0.25,0.7000000000000001,True,True,True,False
