system,dad_seed,history_id,xi1,y1,xi2_star,xi2_DAD,agree,J_star,J_DAD,regret
ieee9,101,36,0,3.438346025182679,1,39,0,0.96,0.96,0.0
ieee9,101,37,0,3.3269277987466,1,39,0,0.96,0.96,0.0
ieee9,101,38,0,12.151308289164815,1,37,0,0.96,0.96,0.0
ieee9,101,39,0,9.76963861754903,1,37,0,0.96,0.96,0.0
ieee9,101,40,0,6.100599192829556,1,39,0,0.96,0.96,0.0
ieee9,101,41,0,3.495926480610221,3,39,0,0.96,0.9637499999999999,0.00374999999999992
ieee9,101,42,0,7.248051863789428,1,39,0,0.96,0.96,0.0
ieee9,101,43,0,4.146030060251247,3,39,0,0.9675,0.9974999999999999,0.029999999999999916
ieee9,101,44,0,4.3811666756264795,2,39,0,0.96,0.9612499999999999,0.0012499999999999734
ieee9,101,45,0,9.13344392532084,1,12,0,0.96,0.96,0.0
ieee9,101,46,0,3.8116771710689124,48,39,0,0.985390625,0.9715234374999999,-0.013867187500000044
ieee9,101,47,0,3.263085314967672,1,39,0,0.96,0.96,0.0
ieee9,101,48,0,3.092338852851954,1,39,0,0.96,0.96,0.0
ieee9,101,49,0,4.370462646602239,1,39,0,0.96,0.96,0.0
ieee9,101,50,0,4.779459713851181,7,39,0,0.96,0.9637499999999999,0.00374999999999992
ieee9,101,51,0,3.337083899811589,1,39,0,0.96,0.96,0.0
ieee9,101,52,0,5.117484226334838,12,39,0,0.96375,0.96375,0.0
ieee9,101,53,0,3.908233217215411,10,39,0,0.9851953125,1.00140625,0.016210937500000022
ieee9,101,54,0,3.3970237383217547,1,39,0,0.96,0.96,0.0
ieee9,101,55,0,4.597023667808065,50,39,0,0.9705468749999999,0.9737499999999999,0.0032031249999999734
ieee9,101,56,0,3.527495715388798,10,39,0,0.9633984375,0.966796875,0.0033984375000000178
ieee9,101,57,0,10.20390486509706,1,37,0,0.96,0.96,0.0
ieee9,101,58,0,6.1748330704590195,1,39,0,0.96,0.96,0.0
ieee9,101,59,0,7.880410938039991,1,12,0,0.96,0.96,0.0
ieee9,101,60,0,3.3948528780678924,1,39,0,0.96,0.96,0.0
ieee9,101,61,0,3.3668329207847174,1,39,0,0.96,0.96,0.0
ieee9,101,62,0,12.213201135734568,1,37,0,0.96,0.96,0.0
ieee9,101,63,0,9.897389553240952,1,37,0,0.96,0.96,0.0
ieee9,101,64,0,6.2282306053335805,1,39,0,0.96,0.96,0.0
ieee9,101,65,0,3.3567869360318343,1,39,0,0.96,0.96,0.0
ieee9,101,66,0,7.308093172177531,1,36,0,0.96,0.96,0.0
ieee9,101,67,0,4.007550989737416,46,39,0,1.0078515625,0.9937500000000001,-0.014101562499999831
ieee9,101,68,0,4.356479306340599,2,39,0,0.96,0.96,0.0
ieee9,101,69,0,9.105229248297205,1,12,0,0.96,0.96,0.0
ieee9,101,70,0,3.8093446931257877,3,39,0,0.980234375,0.9824999999999999,0.002265624999999938
ieee9,101,71,0,3.2257470397420485,1,39,0,0.96,0.96,0.0
ieee9,101,72,0,3.0834670923190637,1,39,0,0.96,0.96,0.0
ieee9,101,73,0,4.385854652868504,2,39,0,0.96,0.96,0.0
ieee9,101,74,0,4.749429765947142,8,39,0,0.9634375,0.96375,0.00031250000000004885
ieee9,101,75,0,3.2858635718626577,1,39,0,0.96,0.96,0.0
ieee9,101,76,0,5.0789976280660145,1,39,0,0.96,0.96,0.0
ieee9,101,77,0,3.9682877314084952,17,39,0,0.9905078125,1.005,0.01449218749999992
ieee9,101,78,0,3.35005780939845,1,39,0,0.96,0.96,0.0
ieee9,101,79,0,4.502439106039508,17,39,0,0.9703515625,0.97,-0.0003515625000000133
ieee9,101,80,0,3.6231721791922213,46,39,0,0.9969921875000001,0.9851171875,-0.01187500000000008
ieee9,101,81,0,10.141294900204517,1,37,0,0.96,0.96,0.0
ieee9,101,82,0,6.387170703861512,1,39,0,0.96,0.96,0.0
ieee9,101,83,0,7.628526511651889,1,12,0,0.96,0.96,0.0
ieee9,101,84,0,3.3245348299749633,1,39,0,0.96,0.96,0.0
ieee9,101,85,0,3.514484630772341,38,39,0,0.96609375,0.96140625,-0.004687499999999956
ieee9,101,86,0,12.2212033944766,1,37,0,0.96,0.96,0.0
ieee9,101,87,0,9.802626089558832,1,37,0,0.96,0.96,0.0
ieee9,101,88,0,6.116381902840598,1,39,0,0.96,0.96,0.0
ieee9,101,89,0,3.389297330847151,1,39,0,0.96,0.96,0.0
ieee9,101,90,0,7.097091314959728,1,36,0,0.96,0.96,0.0
ieee9,101,91,0,4.168735760792367,17,39,0,0.96375,0.96375,0.0
ieee9,101,92,0,4.326409711084307,1,39,0,0.96,0.96,0.0
ieee9,101,93,0,9.056385680216923,1,12,0,0.96,0.96,0.0
ieee9,101,94,0,3.669647942211128,35,39,0,0.9995703125,1.0076562500000001,0.008085937500000195
ieee9,101,95,0,3.3666629190657735,1,39,0,0.96,0.96,0.0
ieee9,101,96,0,3.2500386395656036,1,39,0,0.96,0.96,0.0
ieee9,101,97,0,4.440294543098008,10,39,0,0.9622265624999999,0.9624999999999999,0.00027343749999997335
ieee9,101,98,0,4.618253293485649,29,39,0,0.9769921875,0.9775,0.0005078124999999822
ieee9,101,99,0,3.3044774457393147,1,39,0,0.96,0.96,0.0
ieee9,101,100,0,4.984124103851627,1,39,0,0.96,0.96,0.0
ieee9,101,101,0,3.9312974507216945,10,39,0,1.0010546875,1.00125,0.0001953125000000444
ieee9,101,102,0,3.2709231168182247,1,39,0,0.96,0.96,0.0
ieee9,101,103,0,4.40710059862284,3,39,0,0.9612499999999999,0.9624999999999999,0.0012499999999999734
ieee9,101,104,0,3.6554482372826174,28,39,0,0.9999218750000001,0.9956640625,-0.004257812500000124
ieee9,101,105,0,10.199384860368765,1,37,0,0.96,0.96,0.0
ieee9,101,106,0,6.348342633095122,1,39,0,0.96,0.96,0.0
ieee9,101,107,0,7.596749177114119,1,12,0,0.96,0.96,0.0
ieee9,101,108,0,3.355759735776033,1,39,0,0.96,0.96,0.0
ieee9,101,109,0,3.479767274656245,1,39,0,0.96,0.96,0.0
ieee9,101,110,0,12.05899087583527,1,37,0,0.96,0.96,0.0
ieee9,101,111,0,9.868344301045456,1,37,0,0.96,0.96,0.0
ieee9,101,112,0,6.404526494792819,1,39,0,0.96,0.96,0.0
ieee9,101,113,0,3.412684905861651,1,39,0,0.96,0.96,0.0
ieee9,101,114,0,7.104426339452318,1,36,0,0.96,0.96,0.0
ieee9,101,115,0,4.089840375109098,7,39,0,0.9690234375,0.9937499999999999,0.024726562499999938
ieee9,101,116,0,4.450321345939495,3,39,0,0.9637499999999999,0.965,0.0012500000000000844
ieee9,101,117,0,9.081465455676284,1,12,0,0.96,0.96,0.0
ieee9,101,118,0,3.8293687076998166,46,39,0,0.9846874999999999,0.973671875,-0.011015624999999973
ieee9,101,119,0,3.423210926545195,1,39,0,0.96,0.96,0.0
ieee9,101,120,0,3.150359572404855,1,39,0,0.96,0.96,0.0
ieee9,101,121,0,4.597765566173959,21,39,0,0.97875,0.97125,-0.007500000000000062
ieee9,101,122,0,4.632739562222258,21,39,0,0.98375,0.975,-0.008750000000000036
ieee9,101,123,0,3.420823130608013,1,39,0,0.96,0.96,0.0
ieee9,101,124,0,4.993419346190312,1,39,0,0.96,0.96,0.0
ieee9,101,125,0,3.8267589461909455,46,39,0,0.9774609375000001,0.99875,0.021289062499999956
ieee9,101,126,0,3.3752386887467076,1,39,0,0.96,0.96,0.0
ieee9,101,127,0,4.578955884941294,48,39,0,0.9737499999999999,0.98125,0.007500000000000062
ieee9,101,128,0,3.6229743638391305,37,39,0,0.9965625,0.9851953125,-0.011367187499999987
ieee9,101,129,0,10.067227704714773,1,37,0,0.96,0.96,0.0
ieee9,101,130,0,6.243223475568124,1,39,0,0.96,0.96,0.0
ieee9,101,131,0,7.595686890525578,1,12,0,0.96,0.96,0.0
ieee9,101,132,0,3.441067128027368,1,39,0,0.96,0.96,0.0
ieee9,101,133,0,3.464129824040912,1,39,0,0.96,0.96,0.0
ieee9,101,134,0,12.159850038410843,1,37,0,0.96,0.96,0.0
ieee9,101,135,0,9.747887627004838,1,37,0,0.96,0.96,0.0
ieee9,101,136,0,6.220580025526623,1,39,0,0.96,0.96,0.0
ieee9,101,137,0,3.535003767598719,29,39,0,0.9618359375000001,0.9622265624999999,0.0003906249999998668
ieee9,101,138,0,7.147839111828707,1,39,0,0.96,0.96,0.0
ieee9,101,139,0,4.134073099155435,26,39,0,0.975,0.97875,0.003750000000000031
ieee9,101,140,0,4.349694017245833,1,39,0,0.96,0.96,0.0
ieee9,101,141,0,9.060037000949599,1,12,0,0.96,0.96,0.0
ieee9,101,142,0,3.78862170470908,39,39,1,0.9898437499999999,0.9898437499999999,0.0
ieee9,101,143,0,3.4240928054578084,1,39,0,0.96,0.96,0.0
ieee9,101,144,0,3.2418576770750858,1,39,0,0.96,0.96,0.0
ieee9,101,145,0,4.441127356492893,21,39,0,0.97,0.965,-0.0050000000000000044
ieee9,101,146,0,4.6953159271200375,30,39,0,0.97,0.96875,-0.0012499999999999734
ieee9,101,147,0,3.2516103532639358,1,39,0,0.96,0.96,0.0
ieee9,101,148,0,5.095597700767506,16,39,0,0.96234375,0.9675,0.005156249999999973
ieee9,101,149,0,3.8901050639553687,46,39,0,0.988515625,0.997734375,0.009218749999999942
ieee9,101,150,0,3.4875755210398585,2,39,0,0.96046875,0.9637890625,0.003320312499999978
ieee9,101,151,0,4.485881604818435,25,39,0,0.9691796874999999,0.97,0.0008203125000000311
ieee9,101,152,0,3.5657457185035164,4,39,0,0.97265625,0.973984375,0.0013281250000000133
ieee9,101,153,0,10.145469308480495,1,37,0,0.96,0.96,0.0
ieee9,101,154,0,6.223470315508116,1,39,0,0.96,0.96,0.0
ieee9,101,155,0,7.818304142294687,1,12,0,0.96,0.96,0.0
ieee9,101,156,0,3.354806650276551,1,39,0,0.96,0.96,0.0
ieee9,101,157,0,3.3260299256593395,1,39,0,0.96,0.96,0.0
ieee9,101,158,0,12.019682539209978,1,37,0,0.96,0.96,0.0
ieee9,101,159,0,9.760835378747654,1,37,0,0.96,0.96,0.0
ieee9,101,160,0,6.19279875854488,1,39,0,0.96,0.96,0.0
ieee9,101,161,0,3.4835466230314993,1,39,0,0.96,0.96,0.0
ieee9,101,162,0,7.273203204089605,1,39,0,0.96,0.96,0.0
ieee9,101,163,0,4.185596162056289,8,39,0,0.96375,0.96375,0.0
ieee9,101,164,0,4.3227380563206665,1,39,0,0.9600781249999999,0.96,-7.812499999992895e-05
ieee9,101,165,0,8.964467370949398,1,12,0,0.96,0.96,0.0
ieee9,101,166,0,3.7952691769691085,47,39,0,0.9844921874999999,0.9908203124999999,0.006328125000000018
ieee9,101,167,0,3.275024358777325,1,39,0,0.96,0.96,0.0
ieee9,101,168,0,3.1420084466869698,1,39,0,0.96,0.96,0.0
ieee9,101,169,0,4.441895651156459,30,39,0,0.9662499999999999,0.9624999999999999,-0.003750000000000031
ieee9,101,170,0,4.653621164625783,45,39,0,0.972890625,0.97,-0.0028906250000000355
ieee9,101,171,0,3.1513866305045912,1,39,0,0.96,0.96,0.0
ieee9,101,172,0,4.889463166965023,1,39,0,0.96,0.96,0.0
ieee9,101,173,0,3.849105409838953,48,39,0,0.9835546875,0.9717578124999999,-0.01179687500000004
ieee9,101,174,0,3.5526715070267505,37,39,0,0.974609375,0.96421875,-0.010390624999999987
ieee9,101,175,0,4.508680523879608,46,39,0,0.9705859375,0.96875,-0.0018359374999999956
ieee9,101,176,0,3.775095513749921,17,39,0,0.9866015625,0.9778125,-0.0087890625
ieee9,101,177,0,10.073908049744462,1,37,0,0.96,0.96,0.0
ieee9,101,178,0,6.262007910493014,1,39,0,0.96,0.96,0.0
ieee9,101,179,0,7.634583938421568,1,12,0,0.96,0.96,0.0
ieee9,101,180,0,3.535696152265303,19,39,0,0.9623828124999999,0.966328125,0.0039453125000000755
ieee9,101,181,0,3.4528655055543616,1,39,0,0.96,0.96,0.0
ieee9,101,182,0,12.010610631355878,1,37,0,0.96,0.96,0.0
ieee9,101,183,0,9.6940609190318,1,37,0,0.96,0.96,0.0
ieee9,101,184,0,6.092223135396165,1,39,0,0.96,0.96,0.0
ieee9,101,185,0,3.5314242989693128,28,39,0,0.9623046875,0.9646484375,0.002343749999999978
ieee9,101,186,0,7.299006298113828,1,39,0,0.96,0.96,0.0
ieee9,101,187,0,4.13925239831934,3,39,0,0.9675,0.97125,0.00374999999999992
ieee9,101,188,0,4.2651120216247875,1,39,0,0.96,0.96,0.0
ieee9,101,189,0,9.153841877866778,1,12,0,0.96,0.96,0.0
ieee9,101,190,0,3.6763294999724967,4,39,0,1.0030078125,0.9954687499999999,-0.007539062500000027
ieee9,101,191,0,3.22386838789663,1,39,0,0.96,0.96,0.0
ieee9,101,192,0,3.1947095124598754,1,39,0,0.96,0.96,0.0
ieee9,101,193,0,4.548927618409731,20,39,0,0.9644921874999999,0.9724999999999999,0.008007812500000044
ieee9,101,194,0,4.8162055873889695,3,39,0,0.96,0.96,0.0
ieee9,101,195,0,3.1585280111411476,1,39,0,0.96,0.96,0.0
ieee9,101,196,0,4.964715943370755,1,39,0,0.96,0.96,0.0
ieee9,101,197,0,3.822192988620227,30,39,0,0.9850390625,0.9762890624999999,-0.008750000000000036
ieee9,101,198,0,3.347345559032606,1,39,0,0.96,0.96,0.0
ieee9,101,199,0,4.487605189047447,28,39,0,0.9662109374999999,0.96875,0.0025390625000001332
ieee9,101,0,1,1.6546074211082233,21,39,0,0.965,0.9609027777777778,-0.0040972222222221966
ieee9,101,1,1,2.611465792821644,3,39,0,0.96,0.96,0.0
ieee9,101,2,1,1.9196481612716905,0,39,0,0.96,0.96,0.0
ieee9,101,3,1,1.4669824411742474,39,39,1,0.9931944444444444,0.9931944444444444,0.0
ieee9,101,4,1,3.0267500429811696,30,39,0,0.9916666666666666,0.9900000000000001,-0.0016666666666664831
ieee9,101,5,1,1.9532732178962409,0,39,0,0.96,0.96,0.0
ieee9,101,6,1,1.714364956418867,2,39,0,0.96,0.96,0.0
ieee9,101,7,1,1.3799670740828305,21,39,0,0.9633333333333333,0.9683333333333333,0.0050000000000000044
ieee9,101,8,1,2.1391802313599597,27,39,0,0.9715277777777778,0.9754166666666665,0.0038888888888887196
ieee9,101,9,1,2.655743330118629,22,39,0,0.9647222222222221,0.9666666666666667,0.0019444444444445264
ieee9,101,10,1,2.6233181126121785,4,39,0,0.96125,0.9649999999999999,0.003749999999999809
ieee9,101,11,1,2.5717216045652744,0,39,0,0.96,0.96,0.0
ieee9,101,12,1,1.9129601154855933,0,39,0,0.96,0.96,0.0
ieee9,101,13,1,2.317232867523196,5,39,0,0.9838888888888889,0.9805555555555555,-0.0033333333333334103
ieee9,101,14,1,1.7393318286246255,0,39,0,0.9604166666666666,0.96,-0.0004166666666666208
ieee9,101,15,1,1.7257806861470986,0,39,0,0.9600694444444443,0.96,-6.944444444434428e-05
ieee9,101,16,1,1.1713033600662675,0,39,0,0.96,0.96,0.0
ieee9,101,17,1,2.1925427860931994,22,39,0,0.9754166666666667,0.9888888888888889,0.013472222222222219
ieee9,101,18,1,2.6391983772166347,3,39,0,0.9616666666666666,0.96,-0.0016666666666665941
ieee9,101,19,1,3.506675995336569,0,39,0,0.96,0.96,0.0
ieee9,101,20,1,2.3847620609862568,50,39,0,0.9638888888888889,0.9640277777777776,0.00013888888888868856
ieee9,101,21,1,2.800779314435259,45,39,0,0.9926388888888887,0.9899999999999999,-0.0026388888888888573
ieee9,101,22,1,2.034881588932862,5,39,0,0.96,0.9604166666666667,0.0004166666666667318
ieee9,101,23,1,1.348107652821049,27,39,0,0.9646527777777777,0.9700000000000001,0.005347222222222392
ieee9,101,24,1,1.4977942360334537,3,39,0,0.9883333333333333,1.0016666666666667,0.01333333333333342
ieee9,101,25,1,2.725844229414749,9,39,0,0.9772222222222222,0.965,-0.012222222222222245
ieee9,101,26,1,1.8650854615799137,0,39,0,0.96,0.96,0.0
ieee9,101,27,1,1.142652807905346,0,39,0,0.96,0.96,0.0
ieee9,101,28,1,3.119443508791973,0,39,0,0.965,0.96,-0.0050000000000000044
ieee9,101,29,1,1.8851561818435794,0,39,0,0.96,0.96,0.0
ieee9,101,30,1,1.691226513401426,3,39,0,0.96,0.96,0.0
ieee9,101,31,1,1.4166622206141923,0,39,0,0.9793055555555554,0.9666666666666667,-0.012638888888888755
ieee9,101,32,1,2.1825675019959965,30,39,0,0.9868055555555556,0.9790277777777777,-0.007777777777777883
ieee9,101,33,1,2.587366519191719,0,39,0,0.96,0.9632638888888888,0.003263888888888844
ieee9,101,34,1,2.8439840509635133,26,39,0,1.0081944444444444,1.0233333333333334,0.015138888888889035
ieee9,101,35,1,2.5159253358417515,0,39,0,0.96,0.96,0.0
ieee9,101,36,1,1.9527611447022721,0,39,0,0.96,0.96,0.0
ieee9,101,37,1,2.1826066471824546,8,39,0,0.978611111111111,0.9879166666666667,0.009305555555555678
ieee9,101,38,1,1.7317979297946913,2,39,0,0.96,0.96,0.0
ieee9,101,39,1,1.7622440925076364,0,39,0,0.96,0.96,0.0
ieee9,101,40,1,1.2478594583850022,0,39,0,0.96,0.96,0.0
ieee9,101,41,1,2.1433630143478277,22,39,0,0.9737499999999999,0.9688888888888888,-0.004861111111111094
ieee9,101,42,1,2.6458165911230003,0,39,0,0.9611111111111111,0.9616666666666666,0.0005555555555554204
ieee9,101,43,1,3.481606424317198,0,39,0,0.96,0.96,0.0
ieee9,101,44,1,2.316470227517772,27,39,0,0.9833333333333334,0.9806944444444445,-0.0026388888888888573
ieee9,101,45,1,2.8424575335198896,45,39,0,1.0188194444444443,1.0216666666666667,0.0028472222222224453
ieee9,101,46,1,2.1676179671251994,48,39,0,0.9858333333333333,0.9829166666666667,-0.0029166666666666785
ieee9,101,47,1,1.4210423972210189,21,39,0,0.9716666666666667,0.9816666666666666,0.009999999999999898
ieee9,101,48,1,1.605992456288751,39,39,1,0.9616666666666666,0.9616666666666666,0.0
ieee9,101,49,1,2.573730618786683,0,39,0,0.96,0.9633333333333333,0.0033333333333332993
ieee9,101,50,1,1.8736890184165498,0,39,0,0.96,0.96,0.0
ieee9,101,51,1,1.2967299370054644,2,39,0,0.96,0.96,0.0
ieee9,101,52,1,3.00363816121774,27,39,0,0.990625,0.985,-0.005624999999999991
ieee9,101,53,1,1.8409241722088967,0,39,0,0.96,0.96,0.0
ieee9,101,54,1,1.6627557030766875,12,39,0,0.965,0.9615277777777779,-0.003472222222222099
ieee9,101,55,1,1.4726530203488322,45,39,0,0.9753472222222221,0.9816666666666668,0.006319444444444655
ieee9,101,56,1,2.0283910377182335,5,39,0,0.96,0.9613888888888887,0.001388888888888773
ieee9,101,57,1,2.6092680080791246,3,39,0,0.96,0.96,0.0
ieee9,101,58,1,2.6850321542068145,13,39,0,0.9708333333333332,0.9695833333333334,-0.0012499999999998623
ieee9,101,59,1,2.665455101373809,40,39,0,0.9622916666666667,0.9633333333333333,0.0010416666666666075
ieee9,101,60,1,1.901374377402036,0,39,0,0.96,0.96,0.0
ieee9,101,61,1,2.2673713189812768,27,39,0,0.976111111111111,0.9838888888888887,0.007777777777777661
ieee9,101,62,1,1.844641448772288,0,39,0,0.96,0.96,0.0
ieee9,101,63,1,1.6555896239204688,21,39,0,0.9620833333333333,0.9666666666666668,0.004583333333333495
ieee9,101,64,1,1.2658896188495667,0,39,0,0.96,0.9616666666666666,0.0016666666666665941
ieee9,101,65,1,2.188054548644806,18,39,0,0.9824999999999999,0.9665277777777778,-0.015972222222222165
ieee9,101,66,1,2.687327768952119,39,39,1,0.9649999999999999,0.9649999999999999,0.0
ieee9,101,67,1,3.5181464269354077,0,39,0,0.96,0.96,0.0
ieee9,101,68,1,2.297650753165255,35,39,0,0.986111111111111,0.9733333333333333,-0.012777777777777777
ieee9,101,69,1,2.691088316943309,20,39,0,0.9688194444444443,0.9716666666666667,0.0028472222222223342
ieee9,101,70,1,2.268834660886885,0,39,0,0.982638888888889,0.997638888888889,0.015000000000000013
ieee9,101,71,1,1.5635441196187778,39,39,1,0.9766666666666666,0.9766666666666666,0.0
ieee9,101,72,1,1.6123543251821637,39,39,1,0.9666666666666667,0.9666666666666667,0.0
ieee9,101,73,1,2.585444376533225,0,39,0,0.96,0.96,0.0
ieee9,101,74,1,1.7874573079565146,0,39,0,0.96,0.96,0.0
ieee9,101,75,1,1.4671486880304194,30,39,0,0.9783333333333334,0.9783333333333334,0.0
ieee9,101,76,1,3.2362565196728776,0,39,0,0.96,0.96,0.0
ieee9,101,77,1,2.0601254579567194,7,39,0,0.96,0.9640277777777778,0.004027777777777852
ieee9,101,78,1,1.480908430883875,12,39,0,1.0,0.9716666666666667,-0.02833333333333332
ieee9,101,79,1,1.3470367638558496,3,39,0,0.9606944444444444,0.9683333333333333,0.007638888888888862
ieee9,101,80,1,2.0513619721741945,7,39,0,0.96,0.9629166666666666,0.0029166666666666785
ieee9,101,81,1,2.691993897701729,30,39,0,0.9772222222222222,0.961875,-0.015347222222222179
ieee9,101,82,1,2.470017143990445,0,39,0,0.96,0.96,0.0
ieee9,101,83,1,2.5822440412817897,0,39,0,0.96,0.96,0.0
ieee9,101,84,1,1.9254259522866237,0,39,0,0.96,0.96,0.0
ieee9,101,85,1,2.299554833648328,45,39,0,0.9819444444444444,0.9840277777777778,0.002083333333333437
ieee9,101,86,1,1.6730484801009402,48,39,0,0.9659027777777777,0.965,-0.0009027777777776969
ieee9,101,87,1,1.7272844344697253,0,39,0,0.96,0.96,0.0
ieee9,101,88,1,1.1623245476269273,0,39,0,0.96,0.96,0.0
ieee9,101,89,1,2.2117207407124124,47,39,0,0.9887499999999999,0.9801388888888889,-0.008611111111111014
ieee9,101,90,1,2.5663194522498434,0,39,0,0.96,0.96,0.0
ieee9,101,91,1,3.6272165978253574,0,39,0,0.96,0.96,0.0
ieee9,101,92,1,2.328374608323285,26,39,0,0.9752777777777778,0.9812499999999998,0.005972222222222046
ieee9,101,93,1,2.891243590458149,18,39,0,1.019375,1.0366666666666668,0.017291666666666927
ieee9,101,94,1,2.1271822855100146,31,39,0,0.9744444444444444,0.9680555555555556,-0.006388888888888888
ieee9,101,95,1,1.538662728144595,21,39,0,0.9883333333333333,0.9866666666666667,-0.0016666666666665941
ieee9,101,96,1,1.635540400014797,30,39,0,0.9715972222222223,0.9665277777777778,-0.005069444444444571
ieee9,101,97,1,2.5894105563185095,0,39,0,0.96,0.96,0.0
ieee9,101,98,1,1.7008068008418047,3,39,0,0.9615972222222222,0.96,-0.0015972222222222499
ieee9,101,99,1,1.3423388334410173,21,39,0,0.96,0.9616666666666666,0.0016666666666665941
ieee9,101,0,2,1.1125501111425833,27,3,0,0.9715972222222223,0.964375,-0.007222222222222352
ieee9,101,1,2,1.3742738167848403,3,3,1,0.9904166666666666,0.9904166666666666,0.0
ieee9,101,2,2,1.127499473657183,0,3,0,0.9669444444444443,0.9750694444444444,0.00812500000000016
ieee9,101,3,2,3.6477296883816117,0,3,0,0.96,0.96,0.0
ieee9,101,4,2,1.5608795774819664,8,3,0,0.9652777777777777,0.965,-0.0002777777777777102
ieee9,101,5,2,1.2073532861574983,21,3,0,0.9629166666666666,0.979375,0.016458333333333353
ieee9,101,6,2,1.1022765752612729,28,3,0,0.9681944444444445,0.9659027777777777,-0.002291666666666803
ieee9,101,7,2,2.4133497168904117,0,3,0,0.96,0.96,0.0
ieee9,101,8,2,1.300415295341597,39,3,0,0.968125,0.9685416666666665,0.00041666666666650976
ieee9,101,9,2,1.7909980550372486,48,3,0,0.9829166666666667,0.9974999999999999,0.014583333333333282
ieee9,101,10,2,2.1328796838705344,0,3,0,0.96,0.96,0.0
ieee9,101,11,2,1.9331844951691108,19,3,0,0.9695138888888888,0.9704166666666666,0.0009027777777778079
ieee9,101,12,2,1.69716234154785,24,3,0,0.9712500000000001,0.969861111111111,-0.001388888888889106
ieee9,101,13,2,1.150931921600689,12,3,0,0.9729861111111111,0.9679166666666666,-0.00506944444444446
ieee9,101,14,2,2.06367390209141,0,3,0,0.9600694444444443,0.9633333333333333,0.003263888888888955
ieee9,101,15,2,1.5795308567672022,26,3,0,0.965,0.9700000000000001,0.0050000000000001155
ieee9,101,16,2,1.257213319850722,45,3,0,0.9745833333333334,0.9713888888888889,-0.0031944444444444997
ieee9,101,17,2,1.0728502184596822,12,3,0,0.9700000000000001,0.9656944444444444,-0.0043055555555556735
ieee9,101,18,2,1.3534622370947083,36,3,0,0.9902777777777777,0.9745833333333334,-0.015694444444444344
ieee9,101,19,2,1.2305752777125545,21,3,0,0.9777083333333333,0.9674305555555556,-0.010277777777777719
ieee9,101,20,2,1.4552709827867425,1,3,0,0.9770833333333333,1.0050000000000001,0.027916666666666812
