system,sequence,xi1,xi2,xi3,mean_u_ctrl,std_u_ctrl,mean_u_raw,std_u_raw,n_eval
ieee5,6 2 7,6,2,7,0.8637499999999999,0.12474348680392097,0.859375,0.14122095940404877,80.0
ieee5,4 6 23,4,6,23,0.85125,0.12746935906326667,0.849375,0.14415567756769065,80.0
ieee5,0 5 1,0,5,1,0.8637500000000001,0.12474348680392097,0.85875,0.14378260499796208,80.0
ieee5,21 5 17,21,5,17,0.85875,0.12419113293629301,0.8556249999999999,0.14252055772764852,80.0
ieee5,14 1 19,14,1,19,0.85625,0.12128865363256368,0.8556250000000001,0.13941703402023725,80.0
ieee5,9 23 4,9,23,4,0.865,0.1295183384698862,0.8643750000000001,0.14581532626922314,80.0
ieee5,5 18 1,5,18,1,0.85,0.1264911064067352,0.8481249999999999,0.14457777967239638,80.0
ieee5,25 11 20,25,11,20,0.85875,0.12519360007604224,0.8537500000000001,0.14312909382791464,80.0
ieee5,19 17 7,19,17,7,0.88125,0.13142845011640364,0.8925000000000001,0.1600976264658536,80.0
ieee5,17 12 26,17,12,26,0.8725000000000002,0.1264663986994174,0.8674999999999999,0.14298164217828802,80.0
ieee5,29 18 15,29,18,15,0.8474999999999999,0.13036007824483692,0.8462499999999998,0.14721901201950782,80.0
ieee5,8 13 14,8,13,14,0.8700000000000001,0.1307669683062202,0.868125,0.14646751986362022,80.0
ieee5,25 26 8,25,26,8,0.8524999999999998,0.12745097096530886,0.85125,0.14425996499375698,80.0
ieee5,4 28 1,4,28,1,0.8525,0.12842799539041325,0.85,0.14448183276799886,80.0
ieee5,5 29 24,5,29,24,0.89125,0.10976537477729487,0.9025000000000001,0.14117807903495494,80.0
ieee5,5 13 7,5,13,7,0.86,0.13,0.859375,0.14876444257617474,80.0
ieee5,20 11 26,20,11,26,0.85625,0.12434201824001412,0.8524999999999998,0.14293792358922802,80.0
ieee5,4 9 15,4,9,15,0.9012499999999999,0.10896530411098755,0.914375,0.14495554275363182,80.0
ieee5,0 12 8,0,12,8,0.8600000000000001,0.13095800853708794,0.858125,0.14736089839234826,80.0
ieee5,1 5 27,1,5,27,0.8487500000000001,0.13037805605238945,0.8481249999999999,0.14820672850785147,80.0
ieee5,27 25 11,27,25,11,0.8487500000000001,0.1294157544505305,0.8474999999999999,0.1472455432262722,80.0
ieee5,2 29 18,2,29,18,0.8574999999999999,0.1330178559442303,0.85625,0.1488235112473832,80.0
ieee5,2 6 16,2,6,16,0.85625,0.12830018511288285,0.8543749999999999,0.14495554275363184,80.0
ieee5,29 14 13,29,14,13,0.8637499999999999,0.13157103594636627,0.8637499999999999,0.1476852650063641,80.0
ieee5,22 29 28,22,29,28,0.85125,0.13228165972650935,0.85,0.14853450777512944,80.0
ieee5,28 27 1,28,27,1,0.85125,0.13037805605238945,0.8493749999999999,0.14630741394406502,80.0
ieee5,19 9 7,19,9,7,0.8875,0.12587195875174104,0.899375,0.15662330406104957,80.0
ieee5,13 6 23,13,6,23,0.8600000000000001,0.12000000000000001,0.858125,0.13725973326143392,80.0
ieee5,23 26 19,23,26,19,0.8525,0.12842799539041325,0.85125,0.14469256200648323,80.0
ieee5,24 5 23,24,5,23,0.85,0.13133925536563698,0.8487500000000001,0.14810785765785686,80.0
ieee5,21 10 1,21,10,1,0.8625,0.11871710070583767,0.859375,0.13786174006953483,80.0
ieee5,16 27 28,16,27,28,0.85,0.130384048104053,0.8487499999999999,0.14641016870422624,80.0
ieee5,10 6 7,10,6,7,0.85,0.130384048104053,0.8474999999999998,0.14703315952532608,80.0
ieee5,5 21 15,5,21,15,0.8712500000000001,0.12061690387337921,0.8637499999999999,0.13986042149228634,80.0
ieee5,19 24 10,19,24,10,0.8887499999999999,0.11831499271013797,0.909375,0.15694221667543753,80.0
