theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
4,20,"[8, 19, 20, 28]","[2.9945010731656914, 2.1284029293721685, 1.2136027147343278, 3.125532504235216]",1.0,0.4,0.6,1.0,False,False,False,True,2.9696220675062928,-0.025230983616995065,True,True,1.4543155393488032,0.8070341312407389,0.12669757059817288,0.1571583771947939,-0.27330242940182714,0.0666781289037317,0,0,0,nan,nan,2.4957116693258286e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
5,21,"[8, 19, 20, 28]","[6.361698322933196, 2.246517526383541, 1.659182490220975, 6.896580633589761]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0,1.0,0.05,1.1716139726255811e-33,-0.2,0.06401554099284112,0,0,0,nan,nan,2.025917638093233e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
6,22,"[8, 19, 20, 28]","[3.377146894354252, 3.0265603503849445, 1.692382856530194, 3.623655345987218]",0.9,0.6,0.30000000000000004,1.0,True,True,False,True,3.5821298688752155,-0.08119583789817161,True,True,1.0005189657797604,0.9997405892829776,0.3499411486510351,0.0038722981822299357,-0.2500588513489649,0.0627644332125783,0,0,0,nan,nan,1.8512946553528309e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
7,23,"[8, 19, 20, 28]","[4.621741280570795, 6.380857204381307, 1.5447479534636313, 5.429570003312103]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0,1.0,0.45,1.6777234305698374e-55,-0.14999999999999997,0.06491527892649174,0,0,0,nan,nan,2.268003299832344e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
8,24,"[8, 19, 20, 28]","[5.944400669359177, 2.5346121192327784, 1.5877649867297858, 6.517246148564808]",0.6,0.1,0.5,1.0,True,True,False,True,7.546941317766077,-0.12253256195015293,True,True,1.0,1.0,0.05,1.0213121912292522e-15,-0.05,0.06288773892447352,0,0,0,nan,nan,2.110842615365982e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
9,25,"[8, 19, 20, 28]","[7.014106195986178, 2.7498578720550775, 2.027973268802138, 7.971893874273017]",0.8,0.35,0.45000000000000007,1.0,True,True,False,True,9.934056000092648,-0.0872675627664812,True,True,1.0,1.0,0.25,3.877144434284246e-17,-0.09999999999999998,0.06286919792182744,0,0,0,nan,nan,1.9881990738213062e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
10,26,"[8, 19, 20, 28]","[3.3242298670532504, 4.871975169644098, 1.6235852966499766, 3.783038983393797]",1.0,0.15,0.85,1.0,False,False,False,True,6.166435577619002,-0.01347753697974646,True,True,1.0,1.0,0.45,4.412195860906688e-13,0.30000000000000004,0.06036228104494512,0,0,0,nan,nan,2.029759343713522e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
11,27,"[8, 19, 20, 28]","[3.0896985827897416, 3.3417091297696464, 3.241243505922188, 3.4001979273862735]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,3.8347218207014766,-0.059799449296380314,True,True,1.0000289449273925,0.9999855277457514,0.20000289445657507,0.000760844510063666,0.10000289445657506,0.06241698400117457,0,0,0,nan,nan,2.182961907237768e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
12,28,"[8, 19, 20, 28]","[3.739215450444112, 2.399520255234997, 2.2720547371264916, 4.0384210136821705]",0.6,0.6,0.0,1.0,True,True,False,True,7.120737653796268,-0.24535380365019713,True,True,1.0001662063599772,0.9999169037250022,0.050008309627499796,0.0009115337075884517,-0.5499916903725002,0.063910675002262,0,0,0,nan,nan,2.0050210878252983e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
13,29,"[8, 19, 20, 28]","[3.3375157274291647, 2.2498715803698044, 2.229524733709601, 3.6122126770855743]",0.9,0.45,0.45,1.0,True,True,False,True,3.4856548583706313,-0.06648571406120514,True,True,1.0068841629877618,0.9965696852863332,0.2991424213219626,0.014617086859679319,-0.1508575786780374,0.05988641991280019,0,0,0,nan,nan,2.074229996651411e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
