system,seed,checkpoint,step,action_history,y_bin,selected_action,logits,L1_policy_difference,history_embedding_L2_difference,belief_embedding_L2_difference,logits_L2_difference
ieee5,505,30,2,28,2,29,"[-0.743076741695404, -0.47741419076919556, -0.22160208225250244, -0.4279806613922119, -0.7064851522445679, 1.2668521404266357, -0.4828706681728363, 0.20169438421726227, 0.27310439944267273, 0.5344836711883545, -0.6472010016441345, 1.228785514831543, -0.3669831454753876, 0.3383268713951111, -0.384713351726532, -0.370367169380188, -0.25468266010284424, 0.5381282567977905, -0.3314172625541687, -0.42224428057670593, 0.08640357106924057, 0.4755042791366577, -0.5790323615074158, -0.8167423009872437, -0.21446217596530914, 0.24833299219608307, -0.05769876390695572, -0.41806137561798096, -1000000000.0, 1.394019365310669]",0.1605924516916275,5.727881908416748,4.113412380218506,1.3025233745574951
ieee5,505,30,3,28 29,0,11,"[-0.46894600987434387, 0.19846771657466888, -0.8578699827194214, -0.29175636172294617, -0.6878649592399597, 1.5255588293075562, 0.16966398060321808, 0.051579549908638, 0.5674397349357605, 0.33228689432144165, -0.4636566936969757, 1.559281826019287, -0.502015233039856, 0.24012614786624908, -0.6242777705192566, -0.726904571056366, -0.16912174224853516, 0.9857674241065979, -0.18000510334968567, -1.09560227394104, 0.15248942375183105, 0.4385332763195038, -0.8436570167541504, -0.8932401537895203, 0.02500329539179802, 0.39075127243995667, 0.15261930227279663, -0.4487689733505249, -1000000000.0, -1000000000.0]",0.019661610946059227,1.007035732269287,1.865798830986023,0.13708890974521637
ieee5,505,30,3,28 29,1,11,"[-0.4920453727245331, 0.1647295504808426, -0.8327040076255798, -0.2970494031906128, -0.7113831639289856, 1.5066787004470825, 0.12244682013988495, 0.063176229596138, 0.5428071618080139, 0.3187752962112427, -0.5044921636581421, 1.5691311359405518, -0.5264902710914612, 0.29022952914237976, -0.6210919618606567, -0.721568763256073, -0.1460351198911667, 0.9948362112045288, -0.183815598487854, -1.0460047721862793, 0.11841391026973724, 0.45489102602005005, -0.8376783132553101, -0.9048793315887451, 0.0006897859275341034, 0.36223727464675903, 0.12477559596300125, -0.4735831022262573, -1000000000.0, -1000000000.0]",0.0,0.0,0.0,0.0
ieee5,505,30,3,28 29,2,11,"[-0.5738117098808289, 0.006842806935310364, -0.6920854449272156, -0.40061792731285095, -0.8298410177230835, 1.5803192853927612, -0.015755504369735718, 0.1436544507741928, 0.47279104590415955, 0.4494318962097168, -0.6088733673095703, 1.6562705039978027, -0.5239574909210205, 0.3363172709941864, -0.5925480127334595, -0.5920649766921997, -0.16103246808052063, 0.9255873560905457, -0.2379443198442459, -0.8524776697158813, 0.186202272772789, 0.4565826654434204, -0.8347108364105225, -0.9150593876838684, -0.15335632860660553, 0.35444408655166626, 0.08253750950098038, -0.46203166246414185, -1000000000.0, -1000000000.0]",0.07409167289733887,3.3475937843322754,2.7726564407348633,0.49309876561164856
ieee5,505,40,2,28,0,29,"[-0.06262783706188202, 1.0317984819412231, -0.8919707536697388, 0.13759583234786987, -0.2304353415966034, -0.1402135193347931, -0.5475742816925049, -0.29300540685653687, 0.8451130390167236, -0.5673328638076782, -0.5459163188934326, 0.4788174033164978, -0.2292715311050415, 0.9123504757881165, -0.6029996275901794, -0.8947569727897644, -0.01431436836719513, 0.7348592877388, -0.033982619643211365, -0.787872850894928, -0.47585758566856384, 0.5090851187705994, -0.40957415103912354, -0.6820923089981079, 0.45112961530685425, 0.050555210560560226, 0.20947030186653137, -0.5290425419807434, -1000000000.0, 1.0497547388076782]",0.01806989125907421,1.4737602472305298,1.3372524976730347,0.1634419858455658
ieee5,505,40,2,28,1,29,"[-0.05363065004348755, 1.0288262367248535, -0.842812180519104, 0.13223637640476227, -0.24244673550128937, -0.15363448858261108, -0.5633129477500916, -0.29501253366470337, 0.8161697387695312, -0.5788408517837524, -0.5941059589385986, 0.4187990427017212, -0.22754257917404175, 0.8976861238479614, -0.5777925252914429, -0.8650588393211365, -0.017758943140506744, 0.7095015048980713, -0.011838674545288086, -0.7182477116584778, -0.529719889163971, 0.50174480676651, -0.3712908625602722, -0.6657516360282898, 0.4257220923900604, 0.033772218972444534, 0.16857418417930603, -0.48792535066604614, -1000000000.0, 1.048661708831787]",0.0,0.0,0.0,0.0
ieee5,505,40,2,28,2,29,"[-0.01966753602027893, 0.45533934235572815, -0.43750452995300293, 0.0422188900411129, -0.3465631604194641, -0.006393864750862122, -0.6929359436035156, -0.16597241163253784, 0.5444943904876709, -0.2607312798500061, -0.4535021483898163, 0.32800382375717163, -0.13536788523197174, 0.7211006283760071, -0.4476856291294098, -0.556717574596405, -0.059860922396183014, 0.45624542236328125, 0.11278919875621796, -0.3622770309448242, -0.46408185362815857, 0.2986205816268921, -0.24664345383644104, -0.48953333497047424, 0.19501711428165436, -0.022109027951955795, 0.061790578067302704, -0.12660345435142517, -1000000000.0, 0.7784055471420288]",0.18405157327651978,5.069249629974365,4.897472858428955,1.222597599029541
ieee5,505,40,3,28 29,0,1,"[-0.08986203372478485, 1.0335856676101685, -1.1622920036315918, 0.07965553551912308, -0.24153001606464386, -0.038271352648735046, -0.4164210557937622, -0.3090117573738098, 0.9004587531089783, -0.41635605692863464, -0.38135668635368347, 0.6979482173919678, -0.23322400450706482, 0.8494797348976135, -0.6170110702514648, -0.9358237385749817, 0.0034654363989830017, 0.8890615701675415, -0.044720396399497986, -0.964258074760437, -0.2738927900791168, 0.4440358877182007, -0.5220751166343689, -0.6535707116127014, 0.5325568914413452, 0.09242194890975952, 0.34508490562438965, -0.6126220226287842, -1000000000.0, -1000000000.0]",0.025948233902454376,0.7909402251243591,1.9647430181503296,0.18451009690761566
ieee5,505,40,3,28 29,1,1,"[-0.07968558371067047, 1.0574537515640259, -1.11332368850708, 0.08202183991670609, -0.23130635917186737, -0.0774516835808754, -0.44212090969085693, -0.3153604567050934, 0.8675881624221802, -0.45976242423057556, -0.44365033507347107, 0.6233507990837097, -0.23536331951618195, 0.8455474376678467, -0.5902602672576904, -0.9099956154823303, 0.017418086528778076, 0.8625783920288086, -0.04816274344921112, -0.8962996006011963, -0.3336796462535858, 0.4408271908760071, -0.4782445430755615, -0.640459418296814, 0.5037311911582947, 0.06709015369415283, 0.3005902171134949, -0.600060224533081, -1000000000.0, -1000000000.0]",0.0,0.0,0.0,0.0
ieee5,505,40,3,28 29,2,1,"[-0.06019681692123413, 0.9670323133468628, -1.005610466003418, 0.07390711456537247, -0.32182639837265015, -0.06611133366823196, -0.5425944924354553, -0.29681241512298584, 0.8124871850013733, -0.4164721965789795, -0.5007506012916565, 0.6238630414009094, -0.2336435765028, 0.8998023271560669, -0.6005690097808838, -0.8618465662002563, 0.026445142924785614, 0.8560137748718262, -0.010424166917800903, -0.7883408069610596, -0.377139687538147, 0.4360562860965729, -0.4457155764102936, -0.6291661858558655, 0.42317691445350647, 0.04609513655304909, 0.2548108696937561, -0.5088417530059814, -1000000000.0, -1000000000.0]",0.04154288396239281,3.1125495433807373,3.1350669860839844,0.293555349111557
