split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,39,7,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,40,8,47 37 48,0.96,1.040000 1.200000 0.960000 0.960000,-0.160000 0.240000 0.000000
confirmation,41,9,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,42,10,47 37 51,1.2,1.040000 1.120000 1.200000 1.200000,-0.080000 -0.080000 0.000000
confirmation,43,11,47 37 48,0.96,1.040000 1.120000 0.960000 0.960000,-0.080000 0.160000 0.000000
confirmation,44,12,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,45,13,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,46,14,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,47,15,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,48,16,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,49,17,47 37 51,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.080000 0.000000
confirmation,50,18,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,51,19,47 37 48,0.96,1.040000 1.120000 0.960000 0.960000,-0.080000 0.160000 0.000000
confirmation,52,20,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,53,21,47 37 48,0.96,1.040000 1.200000 1.200000 0.960000,-0.160000 0.000000 0.240000
confirmation,54,22,47 37 51,0.96,1.040000 1.200000 1.200000 0.960000,-0.160000 0.000000 0.240000
confirmation,55,23,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,56,24,47 37 51,0.96,1.040000 1.200000 0.960000 0.960000,-0.160000 0.240000 0.000000
confirmation,57,25,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,58,26,47 37 48,0.96,1.040000 1.040000 1.200000 0.960000,0.000000 -0.160000 0.240000
confirmation,59,27,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,60,28,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,61,29,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,62,30,47 37 48,0.96,1.040000 1.040000 1.120000 0.960000,0.000000 -0.080000 0.160000
confirmation,63,31,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
