update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
15,0.97,-0.047562189400196075,0.003117828629910946,3.8695895671844482,-0.0024725496768951416,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
16,0.965,-0.04619426280260086,0.0019553264137357473,3.859220504760742,0.007144545670598745,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
17,0.96,-0.04545682668685913,0.002154070185497403,3.8512392044067383,-0.0033706824760884047,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
18,0.98,-0.04298173263669014,0.003049004590138793,3.8451499938964844,-0.011949907056987286,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
19,0.97,-0.04684729129076004,0.0015390032203868032,3.8389251232147217,0.005772819276899099,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
20,0.96,-0.05287571996450424,0.0009428669582121074,3.8332300186157227,0.012027417309582233,0.0,rl_sboed_stepwise,RL-sBOED,random,0.97625,1,1.0
21,0.975,-0.04127892851829529,0.0023306328803300858,3.820889711380005,0.003136172890663147,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
22,0.97,-0.054012201726436615,0.002034782897680998,3.8261330127716064,0.0027596503496170044,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
23,1.005,-0.0469493493437767,0.003218740224838257,3.8382298946380615,0.02400827407836914,0.125,rl_sboed_stepwise,RL-sBOED,random,,,
24,0.975,-0.04100165516138077,0.0018315003253519535,3.854222059249878,0.007264296058565378,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
25,0.975,-0.047724686563014984,0.0016057087341323495,3.863682746887207,-0.013926724903285503,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
26,0.995,-0.037787389010190964,0.0017639542929828167,3.868640661239624,-0.0051300921477377415,0.125,rl_sboed_stepwise,RL-sBOED,random,,,
27,0.97,-0.04588545113801956,0.0010378040606155992,3.8718607425689697,-0.0030914347153156996,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
28,0.96,-0.032894883304834366,0.00042901732376776636,3.8738300800323486,0.0007820725440979004,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
29,0.97,-0.04475170373916626,0.0013538923813030124,3.8579320907592773,-0.006726761814206839,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
30,0.975,-0.04821494594216347,0.0017424346879124641,3.834484815597534,0.0073633394204080105,0.0625,rl_sboed_stepwise,RL-sBOED,random,0.9724999999999999,1,1.0
31,0.97,-0.05052488297224045,0.0007663043215870857,3.802757501602173,0.0005023280973546207,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
32,0.995,-0.04656744375824928,0.002273166785016656,3.751241683959961,0.013566548936069012,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
33,1.0150000000000001,-0.04539726302027702,0.0028178475331515074,3.7144644260406494,0.0051413425244390965,0.125,rl_sboed_stepwise,RL-sBOED,random,,,
34,0.985,-0.03466758131980896,0.002113064518198371,3.6469757556915283,-0.005526488181203604,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
35,0.98,-0.04328634962439537,0.001666735508479178,3.627403974533081,0.0026098687667399645,0.125,rl_sboed_stepwise,RL-sBOED,random,,,
36,1.0,-0.04486498981714249,0.0019496324239298701,3.5867807865142822,0.01032769214361906,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
37,0.99,-0.043499190360307693,0.0024699412751942873,3.5211591720581055,2.4174651116481982e-05,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
38,0.975,-0.05038511008024216,0.0021473246160894632,3.338205337524414,0.018236884847283363,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
39,0.99,-0.0234258770942688,0.0020789301488548517,3.2610177993774414,-0.0036970973014831543,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
40,0.995,-0.041510555893182755,0.0023715428542345762,3.306011199951172,0.0020877420902252197,0.0,rl_sboed_stepwise,RL-sBOED,random,1.00125,1,1.0
41,0.985,-0.04252719506621361,0.0022230136673897505,3.1353814601898193,0.01574534736573696,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
42,1.01,-0.03115416131913662,0.003842736594378948,3.064640998840332,0.017072414979338646,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
43,0.98,-0.037349883466959,0.0011911046458408237,3.162961006164551,0.005095551256090403,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
44,0.99,-0.042534347623586655,0.0008043735870160162,3.2476282119750977,0.028937717899680138,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
45,0.975,-0.03605305403470993,0.001529610832221806,3.2143306732177734,-0.007568980101495981,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
46,0.995,-0.034865207970142365,0.0016017695888876915,3.0725269317626953,-0.003500714898109436,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
47,0.98,-0.03543979674577713,0.0016799233853816986,3.155569314956665,0.005143657326698303,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
48,0.96,-0.04290703684091568,0.0004031923890579492,3.172140121459961,0.0025813777465373278,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
49,0.98,-0.04835035651922226,0.0013282311847433448,3.1285903453826904,0.01869777776300907,0.1875,rl_sboed_stepwise,RL-sBOED,random,,,
50,1.0150000000000001,-0.03459847345948219,0.0027006773743778467,2.998920202255249,-0.0018801788100972772,0.0625,rl_sboed_stepwise,RL-sBOED,random,0.9925,1,1.0
51,1.0,-0.03702538087964058,0.0031210826709866524,3.1513748168945312,0.008755345828831196,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
52,0.985,-0.03346119821071625,0.002200025599449873,3.0579700469970703,-0.0056888810358941555,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
53,0.975,-0.04731469973921776,0.0017873324686661363,3.084486246109009,0.00933461356908083,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
54,0.99,-0.05830317363142967,0.0022371141240000725,2.9928417205810547,0.0026750564575195312,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
55,0.985,-0.05907117575407028,0.001654385938309133,3.143704652786255,0.026834214106202126,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
56,0.985,-0.04583592340350151,0.0011879302328452468,3.0614922046661377,0.012887492775917053,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
57,0.97,-0.038668759167194366,0.0008555371314287186,2.9469683170318604,0.005185440182685852,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
58,0.975,-0.04023338109254837,0.0005571814253926277,2.939124345779419,0.00611598277464509,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
59,0.98,-0.04477874934673309,0.0007926360121928155,2.863865852355957,0.008261452428996563,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
60,0.98,-0.027662191540002823,0.0007057046168483794,2.8834240436553955,0.01683509349822998,0.125,rl_sboed_stepwise,RL-sBOED,random,0.97875,1,1.0
61,0.96,-0.04762107878923416,0.0003943945048376918,2.7358391284942627,0.0048264809884130955,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
62,0.995,-0.04515378922224045,0.003618479473516345,2.805828809738159,0.009584506042301655,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
63,0.99,-0.05597157031297684,0.000984230893664062,2.7517402172088623,-0.006834482308477163,0.25,rl_sboed_stepwise,RL-sBOED,random,,,
64,0.965,-0.053872473537921906,0.0003346079320181161,2.844191789627075,0.03160872682929039,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
65,0.96,-0.03772114962339401,0.0018134438432753086,2.83927845954895,0.011981775052845478,0.0625,rl_sboed_stepwise,RL-sBOED,random,,,
66,1.0,-0.04149608686566353,0.0017747475067153573,2.7259366512298584,0.008096039295196533,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
67,0.96,-0.029238015413284302,0.0012675795005634427,2.6233246326446533,0.005061402916908264,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
68,0.985,-0.03167374059557915,0.001437487080693245,2.5215065479278564,-0.010497719049453735,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
69,0.96,-0.033215828239917755,0.0006232595187611878,2.462977647781372,0.00935607124119997,0.0,rl_sboed_stepwise,RL-sBOED,random,,,
70,0.96,-0.03194766491651535,0.0003806826425716281,2.453399419784546,0.013148307800292969,0.0,rl_sboed_stepwise,RL-sBOED,random,0.98875,1,1.0
71,0.96,-0.047857023775577545,0.00041764674824662507,2.466000556945801,0.015088220126926899,0.125,rl_sboed_stepwise,RL-sBOED,random,,,
