action_id,amplitude_pu,physical_bus,duration_s,train_parameter_signal_sd_hz,test_parameter_signal_sd_hz,heldout_linear_surrogate_r2,train_max_abs_delta_f_hz,test_max_abs_delta_f_hz,train_max_rocof_hz_s,test_max_rocof_hz_s,provisional_test_df_safe_rate,provisional_test_rocof_safe_rate,residual_sd_hz,effective_snr_sigma_0.0025,effective_snr_sigma_0.005,effective_snr_sigma_0.01,effective_snr_sigma_0.015
13,0.05,5,1.0,0.0017770596059889878,0.0016304910609916,0.9731827078015706,0.027201555077241153,0.0247626125867299,0.059687996845161635,0.055958794128104866,1.0,1.0,0.0003096290613653298,0.5052705349180379,0.12631763372950947,0.031579408432377366,0.014035292636612164
14,0.05,6,1.0,0.0017907976188167717,0.001640154969703345,0.9596817931529416,0.027477883336528494,0.025282906104734312,0.06971377628883979,0.06516145808509159,1.0,1.0,0.0003641023137109836,0.5131129778495711,0.12827824446239278,0.032069561115598194,0.014253138273599197
15,0.05,7,1.0,0.0017982995063313225,0.0016468515879582723,0.9530752340475195,0.027533243634988446,0.025360070437541526,0.07082475303920323,0.06688325560094717,1.0,1.0,0.00038717467044932746,0.5174209783154364,0.1293552445788591,0.03233881114471478,0.014372804953206569
16,0.05,8,1.0,0.001804946120728657,0.0016531048783998007,0.9476201336057276,0.02758277083680527,0.025523676691298312,0.07244437238750912,0.06822988151410259,1.0,1.0,0.00040559773145583655,0.5212528797973485,0.13031321994933712,0.03257830498733428,0.01447924666103746
17,0.05,9,1.0,0.0017774207302972723,0.0016298954584075915,0.9718963262292525,0.02720366038196743,0.02477941321823712,0.06095437055297135,0.056767241662418304,1.0,1.0,0.00031437460864384666,0.5054759123984782,0.12636897809961956,0.03159224452490489,0.014040997566624394
18,0.05,1,1.5,0.002553253672613769,0.0023514652272638176,0.9744685325772735,0.03870096142771025,0.03435156316693489,0.0547817091698358,0.049730547866179316,1.0,1.0,0.0004333824208762659,1.043056690674512,0.260764172668628,0.065191043167157,0.028973796963180892
19,0.05,2,1.5,0.0025660933494798728,0.0023449506242264485,0.9703759650286258,0.03970363092153879,0.035775792756819184,0.05675616696348307,0.054219868507673775,1.0,1.0,0.0004607993530188801,1.053573612519173,0.26339340312979326,0.06584835078244831,0.02926593368108814
20,0.05,3,1.5,0.00256310088521775,0.002350105329480842,0.973011135597313,0.03944775868713,0.035507545700782246,0.05597323745111113,0.05250990250177315,1.0,1.0,0.0004459426484308409,1.051117783648642,0.2627794459121605,0.06569486147804013,0.029197716212462282
21,0.05,4,1.5,0.002554027672734544,0.0023478937639848222,0.974765113357141,0.03887578726064908,0.03464522303704578,0.05498946088742842,0.05016187674747302,1.0,1.0,0.0004321126048747309,1.0436891764950127,0.2609222941237532,0.0652305735309383,0.028991366013750356
22,0.05,5,1.5,0.0025558325389130115,0.0023472310296083388,0.974561455361408,0.039025986101955464,0.03488560554077181,0.0552074696529035,0.050600699322690124,1.0,1.0,0.00043407971652349714,1.0451647947146447,0.2612911986786612,0.0653227996696653,0.029032355408740135
