update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
75,0.975,-0.020268207415938377,0.0011563502484932542,1.6286741495132446,-0.008795738220214844,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
76,0.975,-0.02792872115969658,0.0012187386164441705,1.6745158433914185,0.011292953975498676,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
77,0.97,-0.022343680262565613,0.0009148740209639072,1.821449637413025,0.017742758616805077,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
78,0.975,-0.037015244364738464,0.0009749499149620533,1.8680801391601562,0.0319528728723526,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
79,0.965,-0.011589114554226398,0.00039545874460600317,1.947222113609314,-0.002809559227898717,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
80,0.975,-0.04393092542886734,0.0015285537810996175,2.033508539199829,-0.0006577621097676456,0.0,rl_sboed_stepwise,RL-sBOED,fixed,0.98875,1,1.0
81,0.965,-0.032098300755023956,0.000337521662004292,2.087735414505005,0.005629648920148611,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
82,1.005,-0.033773381263017654,0.002091491362079978,2.063136339187622,0.0003663649258669466,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
83,0.97,-0.017726091668009758,0.0010474588489159942,2.016791343688965,0.013486991636455059,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
84,0.96,-0.022205311805009842,0.0013754992978647351,1.957474708557129,0.01400489080697298,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
85,0.965,-0.024629071354866028,0.0004928396083414555,1.9592498540878296,0.001119891763664782,0.125,rl_sboed_stepwise,RL-sBOED,fixed,,,
86,0.975,-0.023348204791545868,0.001187417539767921,1.9836992025375366,0.010921001434326172,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
87,0.98,-0.019367849454283714,0.0018948470242321491,1.991358757019043,0.0006507287616841495,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
88,0.96,-0.020904654636979103,0.00011254354467382655,2.007396936416626,0.009030942805111408,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
89,0.975,-0.03504052013158798,0.0014914795756340027,1.9945088624954224,0.0025066088419407606,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
90,0.98,-0.03334889933466911,0.0011785709066316485,1.9999767541885376,-0.03553606569766998,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,0.98625,1,1.0
