update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
48,0.97,-0.0009749308228492737,0.00038517965003848076,0.7381772398948669,0.05197407305240631,0.0,dad_terminal,DAD,fixed,,,
49,0.96,-0.008965207263827324,1.4925933101039845e-05,0.6674037575721741,-0.010406170971691608,0.0,dad_terminal,DAD,fixed,,,
50,0.965,-0.020499756559729576,0.000166089172125794,0.7107765078544617,0.0012466212501749396,0.0,dad_terminal,DAD,fixed,0.97125,1,1.0
51,0.96,-0.023814329877495766,4.2555325308057945e-06,0.7995485663414001,0.005340829491615295,0.0,dad_terminal,DAD,fixed,,,
52,0.96,-0.020523570477962494,3.351629857206717e-06,0.7554188370704651,0.022097459062933922,0.0,dad_terminal,DAD,fixed,,,
53,0.96,-0.028460538014769554,6.481590844487073e-06,0.8846901059150696,0.023869147524237633,0.0,dad_terminal,DAD,fixed,,,
54,0.985,-0.014813175424933434,0.002104277955368161,0.9935791492462158,0.011195182800292969,0.0,dad_terminal,DAD,fixed,,,
55,0.96,-0.03524848073720932,0.0004029194824397564,0.9982473850250244,-0.013428051955997944,0.0,dad_terminal,DAD,fixed,,,
56,0.96,-0.01298405323177576,0.00020231568487361073,1.0993400812149048,0.024103665724396706,0.0,dad_terminal,DAD,fixed,,,
57,0.985,-0.03119303286075592,0.0013304208405315876,0.9980353713035583,0.0003945132193621248,0.0,dad_terminal,DAD,fixed,,,
58,0.96,-0.038504574447870255,0.00023444723046850413,1.0142475366592407,-0.0010861009359359741,0.0,dad_terminal,DAD,fixed,,,
59,0.975,-0.01086240354925394,0.0018987363437190652,1.1380083560943604,0.02999790944159031,0.0,dad_terminal,DAD,fixed,,,
60,1.0,-0.03165321424603462,0.0021208301186561584,1.1090222597122192,0.008236750960350037,0.0,dad_terminal,DAD,fixed,0.97125,1,1.0
61,0.98,-0.02413931116461754,0.0015166824450716376,1.1550384759902954,0.022810062393546104,0.0,dad_terminal,DAD,fixed,,,
62,0.97,-0.02066544070839882,0.0006262534880079329,1.1704158782958984,0.012964961118996143,0.0,dad_terminal,DAD,fixed,,,
63,0.975,-0.02503333054482937,0.0013218782842159271,1.1690623760223389,0.009723220951855183,0.0,dad_terminal,DAD,fixed,,,
64,0.96,-0.025219187140464783,8.120774145936593e-05,1.1919240951538086,0.006900519132614136,0.0,dad_terminal,DAD,fixed,,,
65,0.96,-0.03276091814041138,6.131819100119174e-05,1.2299933433532715,0.0010855098953470588,0.0,dad_terminal,DAD,fixed,,,
66,1.0150000000000001,-0.02264350838959217,0.0035168637987226248,1.2574553489685059,0.0018912553787231445,0.0,dad_terminal,DAD,fixed,,,
67,0.97,-0.03026396781206131,0.002118215197697282,1.2946797609329224,-0.0045997449196875095,0.0,dad_terminal,DAD,fixed,,,
68,0.98,-0.019555937498807907,0.00262800813652575,1.3080813884735107,0.008105997927486897,0.0,dad_terminal,DAD,fixed,,,
69,0.965,-0.014011925086379051,0.0015949521912261844,1.313962459564209,0.001463368535041809,0.0,dad_terminal,DAD,fixed,,,
70,0.99,-0.020735420286655426,0.0035548394080251455,1.3101521730422974,0.0058774701319634914,0.0,dad_terminal,DAD,fixed,0.9737499999999999,3,0.734375
71,0.985,-0.028507713228464127,0.0024854077491909266,1.3035839796066284,0.007851342670619488,0.0,dad_terminal,DAD,fixed,,,
72,0.965,-0.019459610804915428,0.0005360844079405069,1.2921305894851685,0.01606278121471405,0.0,dad_terminal,DAD,fixed,,,
73,0.985,-0.0412151962518692,0.0011128265177831054,1.264884352684021,0.01425956655293703,0.0,dad_terminal,DAD,fixed,,,
74,0.99,-0.030499905347824097,0.0022664819844067097,1.2267948389053345,0.029139628633856773,0.0,dad_terminal,DAD,fixed,,,
75,0.995,-0.013132551684975624,0.0018682392546907067,1.2153505086898804,0.0017351210117340088,0.0,dad_terminal,DAD,fixed,,,
76,0.96,-0.016293436288833618,0.00016971881268545985,1.227096438407898,0.009276260621845722,0.0,dad_terminal,DAD,fixed,,,
77,0.975,-0.02645597979426384,0.0013423975324258208,1.2076970338821411,0.010955815203487873,0.0,dad_terminal,DAD,fixed,,,
78,0.96,-0.007957744412124157,0.0004993561888113618,1.184281826019287,0.006502479314804077,0.0,dad_terminal,DAD,fixed,,,
79,0.96,-0.02134530059993267,0.00029318779706954956,1.1832201480865479,0.0049081891775131226,0.0,dad_terminal,DAD,fixed,,,
80,0.99,-0.016259634867310524,0.0020715307909995317,1.2017260789871216,0.001102407812140882,0.0,dad_terminal,DAD,fixed,0.97875,2,0.953125
81,0.965,-0.0288117453455925,0.00026692880783230066,1.2335823774337769,0.003976707812398672,0.0,dad_terminal,DAD,fixed,,,
82,0.985,-0.0053685554303228855,0.0017741252668201923,1.2561053037643433,0.007338424678891897,0.0,dad_terminal,DAD,fixed,,,
83,0.96,-0.026478616520762444,0.000529338838532567,1.2655094861984253,0.016461798921227455,0.0,dad_terminal,DAD,fixed,,,
84,0.965,-0.02365783601999283,0.0005804545944556594,1.2755842208862305,0.008244018070399761,0.0,dad_terminal,DAD,fixed,,,
85,0.96,-0.013918913900852203,0.00025343301240354776,1.2834763526916504,0.0061293491162359715,0.0,dad_terminal,DAD,fixed,,,
86,0.96,-0.017935607582330704,0.00016079230408649892,1.2833176851272583,0.0014265378704294562,0.0,dad_terminal,DAD,fixed,,,
87,0.96,-0.00880737230181694,0.00011950955376960337,1.2852901220321655,-0.003304809331893921,0.0,dad_terminal,DAD,fixed,,,
88,0.96,-0.016162682324647903,0.00010747083433670923,1.2790956497192383,-0.004106531385332346,0.0,dad_terminal,DAD,fixed,,,
89,0.98,-0.033799245953559875,0.0012792275520041585,1.2513545751571655,-0.003378063440322876,0.0,dad_terminal,DAD,fixed,,,
90,0.97,-0.0026406431570649147,0.0005713389255106449,1.2233408689498901,-0.0028269190806895494,0.0,dad_terminal,DAD,fixed,0.97125,1,1.0
