rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
322,14,14 21,3.1216897 1.7868228,1.0,0.9,0.3,0.299937873886682,0.6000000000000001,True,True,True,False
323,11,29 1,3.7996776 1.5532683,1.0,0.7,0.1,0.10194528833962258,0.6,True,True,True,False
324,3,21 8,2.9108 6.6711593,1.0,0.9,0.5,0.35000000000000003,0.4,True,True,True,False
325,15,7 15,1.0615059 3.1228767,1.0,0.9,0.2,0.3498719798282103,0.7,True,True,True,False
326,10,25 28,1.7088554 3.636362,1.0,0.9,0.15,0.25513115401885533,0.75,True,True,True,False
327,8,26 16,1.4254398 1.3840452,1.0,0.7,0.1,0.09684729201505457,0.6,True,True,True,False
328,4,2 18,1.479419 3.0158098,1.0,0.9,0.4,0.20902817034099436,0.5,True,True,True,False
329,8,7 5,1.4256938 1.4951973,1.0,1.0,0.1,0.406922993769791,0.9,True,False,False,False
330,7,8 10,4.6405273 1.4365886,1.0,1.0,0.6,0.15515293460114327,0.4,True,False,False,False
331,1,9 26,6.5546726 1.5962723,1.0,0.8,0.1,0.2515984757117545,0.7000000000000001,True,True,True,False
332,12,11 2,3.5217412 1.0648291,1.0,1.0,0.6,0.5999999998427268,0.4,True,False,False,False
333,14,28 3,5.2162162 4.7253713,1.0,1.0,0.3,0.5956226301073266,0.7,True,False,False,False
334,0,3 23,3.1121112 3.2291314,1.0,1.0,0.1,0.35121068780367076,0.9,True,False,False,False
335,7,0 14,1.3894984 6.0975565,1.0,1.0,0.6,0.45,0.4,True,False,False,False
336,4,27 1,1.8279372 2.8406826,1.0,0.9,0.4,0.35058188258140993,0.5,True,True,True,False
337,5,28 7,7.0529163 2.1109754,1.0,0.6,0.25,0.050000000246171905,0.35,True,True,True,False
338,11,24 28,3.807631 3.5805266,1.0,1.0,0.1,0.3324886733768725,0.9,True,False,False,False
