rollout_id,theta_id,step,ess_fraction,max_weight,u_ctrl,chosen_action,dominant_expert,router_entropy,expert_disagreement,logit_scale,action_matches_dominant_expert,action_matches_uniform_experts,action_matches_routed_unscaled,flip_vs_dominant,flip_vs_uniform,router_dense_0,router_top2_0,expert_top_action_0,router_dense_1,router_top2_1,expert_top_action_1,router_dense_2,router_top2_2,expert_top_action_2,router_dense_3,router_top2_3,expert_top_action_3,fingerprint_0,fingerprint_1,fingerprint_2,fingerprint_3,fingerprint_4,fingerprint_5,fingerprint_6,fingerprint_7,fingerprint_8,fingerprint_9,fingerprint_10,fingerprint_11,fingerprint_12,fingerprint_13,fingerprint_14,fingerprint_15
71,71,1,0.004137834158424698,0.7757789977729369,0.21,24,1,1.3862076997756958,1.0,0.11974605917930603,1,0,1,0,1,0.24847351014614105,0.0,23,0.2531401813030243,0.500088095664978,24,0.2530510127544403,0.49991193413734436,6,0.24533528089523315,0.0,4,1.0828351974487305,0.7093557715415955,-0.9583072662353516,0.9701564908027649,-1.5739843845367432,-0.3992132544517517,-1.4472379684448242,0.6358939409255981,-0.3992694914340973,0.6152845621109009,0.5743042230606079,1.0628098249435425,-0.10803209245204926,-0.5533455014228821,1.4795451164245605,-0.4379044771194458
71,71,2,0.005592026925909921,0.4852395609441166,0.21,21,2,1.3862584829330444,1.0,0.11974605917930603,0,0,0,1,1,0.24748562276363373,0.0,23,0.2517050504684448,0.4992602467536926,19,0.25245097279548645,0.5007398128509521,6,0.248358353972435,0.0,4,-0.3168489933013916,0.66680508852005,0.5653205513954163,1.1009719371795654,-0.08203604817390442,-0.4810856282711029,1.4517033100128174,-0.4796159267425537,1.2998957633972168,0.8796995282173157,-0.9755585789680481,1.2024503946304321,-1.658524513244629,-0.34640949964523315,-1.500794768333435,0.8027125000953674
72,72,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
72,72,1,0.00262749905531327,0.9955400718222195,0.09,24,1,1.3862450122833252,1.0,0.11974605917930603,1,0,1,0,1,0.2494756430387497,0.0,23,0.25280851125717163,0.5013113617897034,24,0.2514858841896057,0.49868863821029663,6,0.24622993171215057,0.0,4,1.100466251373291,0.7066053748130798,-0.9716125726699829,0.9908942580223083,-1.579974889755249,-0.40148457884788513,-1.435671329498291,0.6315423250198364,-0.41127005219459534,0.6242390871047974,0.545383870601654,1.0734456777572632,-0.11072919517755508,-0.5377283096313477,1.4309183359146118,-0.4942760169506073
72,72,2,0.002604167002626876,0.999999935495644,0.15,21,2,1.3862740993499756,1.0,0.11974605917930603,0,0,0,1,1,0.24850644171237946,0.0,23,0.2510848343372345,0.4990650713443756,19,0.2520255744457245,0.500934898853302,6,0.24838313460350037,0.0,4,-0.32453542947769165,0.674288809299469,0.5415774583816528,1.1076810359954834,-0.08163628727197647,-0.4715217351913452,1.41643488407135,-0.506862223148346,1.3174024820327759,0.8782216310501099,-0.9900467991828918,1.2158536911010742,-1.6625179052352905,-0.34907105565071106,-1.4869920015335083,0.7955992221832275
73,73,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
73,73,1,0.0035872246342298336,0.8476351855219155,0.21,24,0,1.386250615119934,0.8333333333333334,0.11974605917930603,0,0,0,1,1,0.2532109022140503,0.5019651055335999,23,0.25122833251953125,0.49803486466407776,24,0.2474602311849594,0.0,24,0.24810057878494263,0.0,4,1.337298035621643,-0.34765076637268066,0.30430999398231506,-0.8698118329048157,-1.3224636316299438,0.43340376019477844,-1.3788102865219116,0.7913475036621094,1.0950983762741089,0.7134391069412231,-0.9717357158660889,0.985194206237793,-1.582471489906311,-0.39932501316070557,-1.4392662048339844,0.6308196783065796
73,73,2,0.0026259157552054116,0.9958414718833791,0.18,21,3,1.3862507343292236,1.0,0.11974605917930603,0,0,0,1,1,0.2499694526195526,0.49617281556129456,23,0.2479102611541748,0.0,19,0.24829460680484772,0.0,6,0.25382566452026367,0.5038271546363831,4,1.3180632591247559,-0.4542255997657776,-0.8983830213546753,0.04914415255188942,2.2806434631347656,0.7821293473243713,0.5588921308517456,0.11152175813913345,1.3116848468780518,-0.3873986005783081,0.2729805111885071,-0.8838102221488953,-1.3495488166809082,0.40713196992874146,-1.3909177780151367,0.7666515111923218
74,74,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
74,74,1,0.009032364687115133,0.41433986833094333,0.24,24,2,1.3862918615341187,1.0,0.11974605917930603,0,0,1,1,1,0.2493656724691391,0.0,23,0.249549001455307,0.0,24,0.2506522238254547,0.5002186894416809,6,0.250433087348938,0.49978137016296387,4,-0.42093706130981445,0.619611918926239,0.5714695453643799,1.0841069221496582,-0.11183671653270721,-0.5548288226127625,1.4700796604156494,-0.42488816380500793,1.303702473640442,-0.5002450942993164,-0.8476817011833191,-0.02995697781443596,2.147545576095581,0.7177669405937195,0.5401109457015991,0.09761041402816772
