rollout_id,theta_true_id,true_u_req,selected_u_ctrl,recomputed_u_ctrl,under_control_amount,true_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_quantile_level,posterior_cdf_at_true_u_req,selected_actions,observations,true_M_values,true_K_values
476,9,0.35,0.45,0.45,-0.10000000000000003,True,1.9142723855922337,0.6099776258801989,0.4495057849119374,0.01053775045152335,1.0,0.0023154468130382124,28 13,7.8673074 7.1701098,0.035474794 0.035544444 0.04765151 0.017396102 0.050981336,0.21546481 0.099380599 0.14145869 0.17771292 0.19136025
477,1,0.1,0.2,0.25,-0.1,True,1.0000000000000013,0.9999999999999993,0.20000000000000004,1.313847422887817e-09,1.0,1.9673159853107264e-35,14 20,6.8558542 2.4941376,0.031166322 0.05138513 0.030459957 0.037479684 0.011377956,0.078223065 0.42146952 0.12402827 0.21881615 0.19253217
478,5,0.25,0.05,0.15,0.2,False,1.00000222093442,0.9999988895340232,0.0500001110465977,0.0001053785909842257,1.0,1.0,17 23,2.4592839 6.7983067,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
479,8,0.1,0.45,0.6,-0.35,True,9.489129554346693,0.15111854856239768,0.21879436344463793,0.14666932798800605,1.0,0.3080418317032786,29 19,2.8238037 2.6176716,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
480,10,0.15,0.25,0.3,-0.1,True,3.540194232811851,0.3471781296100217,0.10170045444127387,0.05642143616502194,1.0,0.9223795909757794,1 10,1.6416483 1.4411571,0.044164345 0.049354847 0.019580813 0.050118208 0.019566196,0.19087154 0.30951487 0.48726049 0.39859886 0.40601028
481,14,0.3,0.05,0.45,0.25,False,1.0001073437735994,0.9999463311703878,0.050015924345724945,0.0021755400118555488,1.0,0.9999498572335549,5 13,2.5361282 4.5510903,0.017526242 0.034110619 0.054735793 0.031135845 0.039475103,0.48423548 0.2307363 0.18285542 0.43114927 0.10600715
482,6,0.6,0.6,0.6,0.0,True,4.970956561105569,0.3308121376790678,0.41878840232395376,0.1426207705337225,1.0,1.0,7 15,1.2888409 1.7101656,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
483,11,0.1,0.1,0.3,0.0,True,1.0269919122423423,0.986729257508418,0.10053005924952285,0.0072611992582455615,1.0,0.9946994110061538,19 6,3.4744119 1.5297288,0.014077631 0.052761349 0.053064175 0.053826855 0.033595486,0.39167083 0.31864448 0.46296152 0.36033357 0.27516039
484,0,0.1,0.15,0.3,-0.04999999999999999,True,1.8476402967317826,0.6716915692962498,0.1171768646594831,0.04695695363101508,1.0,0.328231360361695,16 22,1.5104831 2.8792056,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
485,0,0.1,0.45,0.45,-0.35,True,1.428022673137015,0.8164403525871996,0.32753394711191686,0.05806869916939362,1.0,1.215817082360209e-21,2 4,2.2848174 3.8362146,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
486,11,0.1,0.4,0.6,-0.30000000000000004,True,1.6957867975132044,0.7225036154814305,0.25014113337651567,0.08973904502994275,1.0,0.017881732401272405,19 23,3.4744119 3.244221,0.014077631 0.052761349 0.053064175 0.053826855 0.033595486,0.39167083 0.31864448 0.46296152 0.36033357 0.27516039
487,8,0.1,0.1,0.2,0.0,True,1.0000000000001108,0.9999999999999445,0.10000000000000554,2.3541023276370816e-08,1.0,0.9999999999999446,13 16,5.8844586 1.5028329,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
488,2,0.3,0.3,0.6,0.0,True,1.0134488171152403,0.993331382267836,0.300635524642835,0.008763450463696911,1.0,0.9933326590196148,24 17,4.5087008 2.087905,0.047675655 0.036907166 0.026486586 0.049421435 0.025159741,0.36110167 0.13035735 0.22831527 0.052621068 0.16812262
489,14,0.3,0.35,0.45,-0.04999999999999999,True,1.326957017204684,0.8560926237256884,0.3071953690750849,0.01754979080423923,1.0,0.8560926237299681,14 20,3.1452859 2.9552294,0.017526242 0.034110619 0.054735793 0.031135845 0.039475103,0.48423548 0.2307363 0.18285542 0.43114927 0.10600715
490,10,0.15,0.1,0.6,0.04999999999999999,True,3.007025523758402,0.3707275594208767,0.06482058604100552,0.023633451082324758,1.0,0.9999944847287224,20 16,1.6348733 1.405529,0.044164345 0.049354847 0.019580813 0.050118208 0.019566196,0.19087154 0.30951487 0.48726049 0.39859886 0.40601028
491,10,0.15,0.15,0.3,0.0,True,3.7485544990558437,0.3275171989496564,0.08366263502240504,0.04725880004845033,1.0,0.9999848099177422,16 3,1.405529 3.5070444,0.044164345 0.049354847 0.019580813 0.050118208 0.019566196,0.19087154 0.30951487 0.48726049 0.39859886 0.40601028
492,0,0.1,0.3,0.45,-0.19999999999999998,True,1.0300339208790619,0.9852019238311407,0.3022197114253289,0.018111587312756416,1.0,8.344442575949522e-22,17 14,2.4771922 3.9817625,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
493,7,0.6,0.45,0.45,0.14999999999999997,True,1.0197914630836473,0.990200395250374,0.4460836087598667,0.03938403122814366,1.0,1.0,10 4,1.4197076 5.7897808,0.055864885 0.011979644 0.036429463 0.032966794 0.013117479,0.10790295 0.21930733 0.23941463 0.34924291 0.25516803
494,9,0.35,0.45,0.45,-0.10000000000000003,True,1.8534830300268812,0.6427080611248668,0.44970626135596925,0.007203711892275284,1.0,0.0016942925997622518,28 17,7.8673074 1.5069614,0.035474794 0.035544444 0.04765151 0.017396102 0.050981336,0.21546481 0.099380599 0.14145869 0.17771292 0.19136025
