update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
832,0.15398436784744263,0.15398436784744263,MoE-sBOED,0.05275082588195801,53248,3.9587419033050537,1.3859018087387085,0.023256609216332436,0.25768283009529114,0.11303292959928513,,,,,,,,,,,
833,0.15539062023162842,0.15539062023162842,MoE-sBOED,0.050946950912475586,53312,3.959900379180908,1.3859562873840332,0.025056689977645874,0.25709211826324463,0.11301831156015396,,,,,,,,,,,
834,0.15257813036441803,0.15257813036441803,MoE-sBOED,0.05222439765930176,53376,3.9584827423095703,1.3859870433807373,0.027465075254440308,0.2568392753601074,0.11303478479385376,,,,,,,,,,,
835,0.1560937613248825,0.1560937613248825,MoE-sBOED,0.0518183708190918,53440,3.9554803371429443,1.3859933614730835,0.029260719195008278,0.2567387819290161,0.1130429282784462,,,,,,,,,,,
836,0.15257813036441803,0.15257813036441803,MoE-sBOED,0.051477670669555664,53504,3.9557080268859863,1.386013388633728,0.030363762751221657,0.25677794218063354,0.11305123567581177,,,,,,,,,,,
837,0.1501171886920929,0.1501171886920929,MoE-sBOED,0.05171370506286621,53568,3.957592725753784,1.3860440254211426,0.029246028512716293,0.25634557008743286,0.11308091133832932,,,,,,,,,,,
838,0.1501171886920929,0.1501171886920929,MoE-sBOED,0.051735877990722656,53632,3.9580237865448,1.3860681056976318,0.026691338047385216,0.25571131706237793,0.11307361721992493,,,,,,,,,,,
839,0.15503907203674316,0.15503907203674316,MoE-sBOED,0.05069851875305176,53696,3.958820104598999,1.3861039876937866,0.024202845990657806,0.25461912155151367,0.1130324974656105,,,,,,,,,,,
840,0.158203125,0.158203125,MoE-sBOED,0.05150866508483887,53760,3.9598960876464844,1.3861407041549683,0.022701019421219826,0.2535322308540344,0.11296670883893967,,,,,,,,,,,
841,0.15468749403953552,0.15468749403953552,MoE-sBOED,0.05196785926818848,53824,3.96083402633667,1.3861488103866577,0.02090492844581604,0.25393688678741455,0.11287592351436615,,,,,,,,,,,
