system,history_id,history_step,previous_actions,previous_observations,candidate_bus,candidate_amplitude,expected_continuous_objective,expected_snapped_objective,is_joint_optimal,is_bus_optimal,is_amplitude_optimal_given_bus,bus_objective_gap,history_source
ieee9,0,1,0,3.13803409,1,0.05,0.9000000000000001,0.96,1,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,2,0.05,0.9000000000000001,0.96,0,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,3,0.05,0.9000000000000001,0.96,0,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,4,0.05,0.9000000000000001,0.96,0,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,5,0.05,0.9000000000000001,0.96,0,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,6,0.05,0.9000000000000001,0.96,0,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,7,0.05,0.9000000000000001,0.96,0,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,8,0.05,0.9000000000000001,0.96,0,0,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,0,0.075,0.9000000000000001,0.96,0,1,1,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,1,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,2,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,3,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,4,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,5,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,6,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,7,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,8,0.075,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,0,0.1,0.9000000000000001,0.96,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,0,1,0,3.13803409,1,0.1,0.9000000000000001,0.96,0,0,0,0.0,objective_adaptive_value/first_history_results.csv
