update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
27,0.985,-0.06123177707195282,0.0018574255518615246,3.8182733058929443,-0.016370519995689392,0.0,dad_terminal,DAD,random,,,
28,0.97,-0.05987166613340378,0.0007510760915465653,3.799592971801758,-0.0004357794823590666,0.0,dad_terminal,DAD,random,,,
29,0.96,-0.049450017511844635,5.330647400114685e-05,3.7848737239837646,0.014825314283370972,0.0,dad_terminal,DAD,random,,,
30,0.96,-0.06150355190038681,8.419680852966849e-06,3.775094747543335,-0.004657591227442026,0.0,dad_terminal,DAD,random,0.97125,2,0.875
31,0.975,-0.05123820900917053,0.0017141848802566528,3.7559030055999756,0.0023288477677851915,0.0,dad_terminal,DAD,random,,,
32,0.96,-0.054903674870729446,7.687148354307283e-06,3.7295730113983154,0.005949467420578003,0.0,dad_terminal,DAD,random,,,
33,0.995,-0.03932643309235573,0.0032769152894616127,3.6898043155670166,0.009367157705128193,0.0,dad_terminal,DAD,random,,,
34,0.98,-0.03734196722507477,0.0013936808099970222,3.651860475540161,-0.0034771610517054796,0.0,dad_terminal,DAD,random,,,
35,1.01,-0.056848809123039246,0.004063797648996115,3.59503436088562,-0.005715941544622183,0.0,dad_terminal,DAD,random,,,
36,0.985,-0.04355708509683609,0.0015439502894878387,3.5278146266937256,0.017848119139671326,0.0,dad_terminal,DAD,random,,,
37,0.98,-0.045553289353847504,0.0014927028678357601,3.4854094982147217,0.014991268515586853,0.0,dad_terminal,DAD,random,,,
38,0.96,-0.038720183074474335,4.152336259721778e-06,3.4340884685516357,0.008310402743518353,0.0,dad_terminal,DAD,random,,,
39,0.985,-0.05375867709517479,0.0017982195131480694,3.3567123413085938,0.014368057250976562,0.0,dad_terminal,DAD,random,,,
40,0.96,-0.05335095897316933,4.631713454728015e-05,3.259164810180664,0.008295014500617981,0.0,dad_terminal,DAD,random,0.97875,2,0.65625
41,0.96,-0.053345825523138046,0.0003505704225972295,3.237208127975464,0.0066834986209869385,0.0,dad_terminal,DAD,random,,,
42,0.965,-0.054327793419361115,0.0003621819196268916,3.1779897212982178,-0.006226649042218924,0.0,dad_terminal,DAD,random,,,
43,0.995,-0.0356442965567112,0.0031681109685450792,3.105175733566284,-0.010564153082668781,0.0,dad_terminal,DAD,random,,,
44,0.975,-0.0583433136343956,0.0016114087775349617,3.1985862255096436,0.0036675482988357544,0.0,dad_terminal,DAD,random,,,
45,0.99,-0.033730752766132355,0.003143825801089406,3.264190673828125,-0.0030919064301997423,0.0,dad_terminal,DAD,random,,,
