system,seed,component,gradient_norm,parameter_count,parameters_with_nonzero_gradient,nonzero_gradient_percent,batch_terminal_unique_values,batch_terminal_modal_fraction,advantage_mean,advantage_std,loss
ieee5,404,policy_head,0.015519262726807264,3870,3870,100.0,5,0.296875,2.7755575615628914e-17,0.1357847561400027,-0.03325394541025162
ieee5,505,history_attention_query,6.13001157034887e-06,128,42,32.8125,5,0.28125,-8.153200337090993e-17,0.1401728843250363,-0.03126566857099533
ieee5,505,history_step_mlp,0.004537744858503648,20608,4470,21.690605590062113,5,0.28125,-8.153200337090993e-17,0.1401728843250363,-0.03126566857099533
ieee5,505,history_output_projection,0.005562305283020384,16512,5504,33.333333333333336,5,0.28125,-8.153200337090993e-17,0.1401728843250363,-0.03126566857099533
ieee5,505,policy_head,0.011866462675724731,3870,3870,100.0,5,0.28125,-8.153200337090993e-17,0.1401728843250363,-0.03126566857099533
ieee9,101,history_attention_query,2.387506356171798e-06,128,91,71.09375,4,0.828125,-4.5102810375396984e-17,0.06981001002721603,-0.039538897573947906
ieee9,101,history_step_mlp,0.0019230484243470938,23680,13608,57.46621621621622,4,0.828125,-4.5102810375396984e-17,0.06981001002721603,-0.039538897573947906
ieee9,101,history_output_projection,0.0029216008726029564,16512,11776,71.31782945736434,4,0.828125,-4.5102810375396984e-17,0.06981001002721603,-0.039538897573947906
ieee9,101,policy_head,0.007231277269511797,6966,6966,100.0,4,0.828125,-4.5102810375396984e-17,0.06981001002721603,-0.039538897573947906
ieee9,202,history_attention_query,7.33448177925311e-06,128,89,69.53125,3,0.875,-1.3877787807814457e-17,0.05999999999999999,-0.03514677286148071
ieee9,202,history_step_mlp,0.008022473857726559,23680,13281,56.085304054054056,3,0.875,-1.3877787807814457e-17,0.05999999999999999,-0.03514677286148071
ieee9,202,history_output_projection,0.005244201313418208,16512,11520,69.76744186046511,3,0.875,-1.3877787807814457e-17,0.05999999999999999,-0.03514677286148071
ieee9,202,policy_head,0.008243577207265458,6966,6966,100.0,3,0.875,-1.3877787807814457e-17,0.05999999999999999,-0.03514677286148071
ieee9,303,history_attention_query,3.985081093560439e-06,128,69,53.90625,4,0.90625,1.734723475976807e-17,0.055099342101335484,-0.03667423874139786
ieee9,303,history_step_mlp,0.004932797265006197,23680,10906,46.05574324324324,4,0.90625,1.734723475976807e-17,0.055099342101335484,-0.03667423874139786
ieee9,303,history_output_projection,0.003968017154988621,16512,8960,54.263565891472865,4,0.90625,1.734723475976807e-17,0.055099342101335484,-0.03667423874139786
ieee9,303,policy_head,0.009323700391920958,6966,6966,100.0,4,0.90625,1.734723475976807e-17,0.055099342101335484,-0.03667423874139786
ieee9,404,history_attention_query,1.6336751684775663e-07,128,96,75.0,4,0.84375,-4.163336342344337e-17,0.06273705045664804,-0.040369343012571335
ieee9,404,history_step_mlp,0.0012245319305213937,23680,14133,59.683277027027025,4,0.84375,-4.163336342344337e-17,0.06273705045664804,-0.040369343012571335
ieee9,404,history_output_projection,0.002261145763521572,16512,12416,75.1937984496124,4,0.84375,-4.163336342344337e-17,0.06273705045664804,-0.040369343012571335
ieee9,404,policy_head,0.0053613837908273445,6966,6966,100.0,4,0.84375,-4.163336342344337e-17,0.06273705045664804,-0.040369343012571335
ieee9,505,history_attention_query,1.0610475698058508e-07,128,102,79.6875,3,0.921875,-6.938893903907228e-17,0.06077622890571609,-0.038949549198150635
ieee9,505,history_step_mlp,0.0011989345389421652,23680,14860,62.75337837837838,3,0.921875,-6.938893903907228e-17,0.06077622890571609,-0.038949549198150635
ieee9,505,history_output_projection,0.002334895878776217,16512,13184,79.84496124031008,3,0.921875,-6.938893903907228e-17,0.06077622890571609,-0.038949549198150635
ieee9,505,policy_head,0.005149614878758306,6966,6966,100.0,3,0.921875,-6.938893903907228e-17,0.06077622890571609,-0.038949549198150635
