xi1,y1_bin,y1_bin_id,y1_low,y1_high,n_histories,dominant_xi2_star,dominant_fraction,n_unique_xi2_star,xi2_star_distribution
13,medium,2,3.536790838979627,6.902057286954387,51,16,0.09803921568627451,22,"{""20"": 2, ""16"": 5, ""14"": 3, ""1"": 2, ""5"": 4, ""15"": 5, ""4"": 3, ""0"": 4, ""6"": 2, ""12"": 3, ""7"": 1, ""26"": 4, ""10"": 3, ""27"": 2, ""28"": 1, ""29"": 1, ""8"": 1, ""2"": 1, ""21"": 1, ""9"": 1, ""3"": 1, ""17"": 1}"
13,medium_high,3,6.902057286954387,7.105391529659715,51,0,0.47058823529411764,16,"{""0"": 24, ""24"": 1, ""12"": 4, ""18"": 3, ""4"": 1, ""7"": 2, ""27"": 1, ""19"": 2, ""1"": 2, ""9"": 1, ""16"": 2, ""29"": 1, ""28"": 2, ""2"": 2, ""5"": 2, ""22"": 1}"
13,high,4,7.105391529659715,8.870665133869982,52,0,0.4423076923076923,19,"{""17"": 3, ""16"": 1, ""0"": 23, ""7"": 2, ""20"": 4, ""14"": 2, ""3"": 1, ""10"": 2, ""6"": 1, ""19"": 2, ""27"": 1, ""24"": 1, ""2"": 2, ""4"": 1, ""28"": 1, ""22"": 2, ""9"": 1, ""18"": 1, ""11"": 1}"
14,low,0,2.424742995975378,2.801536208209403,51,13,0.1568627450980392,19,"{""11"": 5, ""7"": 2, ""26"": 3, ""21"": 2, ""18"": 4, ""12"": 3, ""23"": 1, ""3"": 3, ""28"": 1, ""20"": 1, ""6"": 1, ""16"": 2, ""10"": 2, ""13"": 8, ""27"": 3, ""25"": 3, ""22"": 5, ""0"": 1, ""5"": 1}"
14,medium_low,1,2.801536208209403,3.0886856996957484,51,25,0.11764705882352941,24,"{""27"": 5, ""23"": 4, ""26"": 1, ""25"": 6, ""21"": 3, ""1"": 4, ""15"": 3, ""12"": 1, ""8"": 2, ""11"": 2, ""13"": 4, ""3"": 1, ""7"": 1, ""20"": 2, ""24"": 2, ""6"": 1, ""2"": 2, ""17"": 1, ""5"": 1, ""29"": 1, ""22"": 1, ""10"": 1, ""19"": 1, ""18"": 1}"
14,medium,2,3.0886856996957484,3.606466056972928,51,1,0.13725490196078433,22,"{""2"": 3, ""0"": 1, ""1"": 7, ""27"": 2, ""10"": 5, ""17"": 2, ""11"": 1, ""18"": 2, ""5"": 3, ""7"": 1, ""12"": 2, ""6"": 3, ""21"": 3, ""25"": 3, ""20"": 1, ""23"": 4, ""13"": 2, ""28"": 1, ""8"": 1, ""16"": 2, ""26"": 1, ""3"": 1}"
14,medium_high,3,3.606466056972928,4.014386545485986,51,23,0.1568627450980392,20,"{""10"": 1, ""23"": 8, ""16"": 4, ""11"": 2, ""6"": 2, ""25"": 5, ""18"": 3, ""8"": 3, ""28"": 4, ""3"": 3, ""20"": 1, ""15"": 2, ""27"": 1, ""5"": 1, ""13"": 3, ""0"": 2, ""7"": 1, ""21"": 2, ""26"": 1, ""17"": 2}"
14,high,4,4.014386545485986,6.409985899355801,52,0,0.3269230769230769,20,"{""28"": 1, ""0"": 17, ""4"": 2, ""6"": 3, ""1"": 3, ""13"": 1, ""18"": 1, ""25"": 2, ""2"": 2, ""5"": 1, ""16"": 2, ""11"": 4, ""8"": 2, ""21"": 3, ""9"": 1, ""20"": 1, ""15"": 3, ""12"": 1, ""29"": 1, ""22"": 1}"
15,low,0,1.2607212578353217,1.52327218049078,51,19,0.13725490196078433,20,"{""22"": 2, ""16"": 3, ""2"": 2, ""6"": 3, ""1"": 3, ""7"": 3, ""11"": 4, ""14"": 2, ""8"": 4, ""19"": 7, ""28"": 1, ""9"": 3, ""3"": 2, ""21"": 2, ""18"": 2, ""26"": 2, ""24"": 3, ""23"": 1, ""12"": 1, ""29"": 1}"
15,medium_low,1,1.52327218049078,1.828884937012039,51,21,0.13725490196078433,20,"{""9"": 2, ""21"": 7, ""12"": 5, ""19"": 2, ""23"": 4, ""3"": 3, ""8"": 2, ""6"": 1, ""16"": 1, ""11"": 3, ""7"": 1, ""24"": 1, ""1"": 4, ""18"": 1, ""28"": 7, ""13"": 2, ""4"": 1, ""26"": 2, ""27"": 1, ""14"": 1}"
15,medium,2,1.828884937012039,2.072603597583433,51,11,0.13725490196078433,20,"{""6"": 4, ""11"": 7, ""24"": 2, ""26"": 3, ""7"": 3, ""16"": 3, ""14"": 2, ""1"": 3, ""21"": 4, ""3"": 3, ""17"": 2, ""9"": 1, ""18"": 2, ""8"": 2, ""27"": 2, ""28"": 1, ""23"": 4, ""13"": 1, ""2"": 1, ""19"": 1}"
15,medium_high,3,2.072603597583433,2.3476307546434456,51,6,0.09803921568627451,24,"{""2"": 1, ""18"": 4, ""9"": 3, ""21"": 4, ""6"": 5, ""23"": 1, ""3"": 1, ""29"": 2, ""17"": 3, ""24"": 2, ""14"": 3, ""13"": 1, ""4"": 2, ""16"": 2, ""19"": 4, ""22"": 2, ""8"": 1, ""1"": 4, ""25"": 1, ""28"": 1, ""7"": 1, ""11"": 1, ""26"": 1, ""0"": 1}"
15,high,4,2.3476307546434456,2.9040458672872713,52,3,0.1346153846153846,24,"{""2"": 4, ""16"": 1, ""13"": 3, ""3"": 7, ""4"": 3, ""24"": 3, ""19"": 1, ""21"": 1, ""8"": 5, ""27"": 2, ""23"": 1, ""1"": 1, ""17"": 4, ""12"": 2, ""9"": 2, ""18"": 1, ""7"": 1, ""28"": 2, ""20"": 1, ""22"": 3, ""14"": 1, ""29"": 1, ""25"": 1, ""6"": 1}"
16,low,0,1.2605695917829995,1.5415719604660614,51,18,0.09803921568627451,18,"{""18"": 5, ""13"": 3, ""2"": 5, ""27"": 4, ""7"": 5, ""20"": 2, ""12"": 5, ""10"": 2, ""17"": 5, ""22"": 3, ""5"": 2, ""8"": 1, ""0"": 2, ""28"": 1, ""25"": 1, ""15"": 3, ""19"": 1, ""23"": 1}"
16,medium_low,1,1.5415719604660614,2.0590825269509807,51,4,0.09803921568627451,21,"{""9"": 3, ""5"": 1, ""4"": 5, ""23"": 5, ""12"": 2, ""14"": 4, ""28"": 3, ""19"": 3, ""27"": 1, ""8"": 2, ""18"": 2, ""22"": 2, ""10"": 1, ""25"": 3, ""24"": 2, ""2"": 2, ""7"": 2, ""20"": 2, ""29"": 1, ""3"": 4, ""17"": 1}"
