rollout_id,theta_test_id,u_myopic,u_fixed,diff_m_minus_f,seq_myopic,seq_fixed,safe_myopic,safe_fixed
157,13,0.9,0.9,0.0,11 4,10 11,True,True
158,14,0.7,0.7,0.0,1 3,10 11,True,True
159,15,0.7,0.6,0.09999999999999998,6 4,10 11,True,True
160,0,0.6,0.7,-0.09999999999999998,6 2,10 11,True,True
161,1,0.45,0.6,-0.14999999999999997,1 0,10 11,True,True
162,2,0.7,0.7,0.0,1 4,10 11,True,True
163,3,1.0,1.0,0.0,26 0,10 11,True,True
164,4,0.8,0.8,0.0,6 0,10 11,True,True
165,5,0.7,0.7,0.0,1 0,10 11,True,True
166,6,1.0,1.0,0.0,1 0,10 11,True,True
167,7,1.0,1.0,0.0,1 0,10 11,True,True
168,8,0.5,0.5,0.0,1 2,10 11,True,True
169,9,0.7,0.7,0.0,1 0,10 11,True,True
170,10,0.6,0.6,0.0,1 27,10 11,True,True
171,11,0.6,0.6,0.0,1 2,10 11,True,True
172,12,1.0,1.0,0.0,11 0,10 11,True,True
173,13,0.8,0.9,-0.09999999999999998,21 4,10 11,True,True
174,14,0.7,0.7,0.0,1 0,10 11,True,True
175,15,0.6,0.6,0.0,1 15,10 11,True,True
176,0,0.7,0.5,0.19999999999999996,16 3,10 11,True,True
177,1,0.8,0.6,0.20000000000000007,1 4,10 11,True,True
178,2,0.7,0.8,-0.10000000000000009,6 19,10 11,True,True
179,3,1.0,1.0,0.0,1 0,10 11,True,True
180,4,0.8,0.8,0.0,11 4,10 11,True,True
181,5,0.7,0.7,0.0,21 0,10 11,True,True
182,6,1.0,1.0,0.0,1 0,10 11,True,True
183,7,1.0,1.0,0.0,21 0,10 11,True,True
184,8,0.5,0.5,0.0,1 2,10 11,True,True
185,9,0.7,0.7,0.0,1 3,10 11,True,True
186,10,0.45,0.5,-0.04999999999999999,21 27,10 11,True,True
187,11,0.6,0.6,0.0,11 17,10 11,True,True
188,12,1.0,1.0,0.0,21 0,10 11,True,True
189,13,0.9,0.9,0.0,11 0,10 11,True,True
190,14,0.7,0.7,0.0,1 3,10 11,True,True
191,15,0.6,0.6,0.0,1 20,10 11,True,True
192,0,0.6,0.5,0.09999999999999998,1 25,10 11,True,True
193,1,0.6,0.6,0.0,1 20,10 11,True,True
194,2,0.7,0.7,0.0,1 0,10 11,True,True
195,3,1.0,1.0,0.0,11 0,10 11,True,True
196,4,0.8,0.8,0.0,1 0,10 11,True,True
197,5,0.7,0.7,0.0,1 0,10 11,True,True
198,6,1.0,1.0,0.0,1 0,10 11,True,True
199,7,1.0,1.0,0.0,1 0,10 11,True,True
200,8,0.45,0.6,-0.14999999999999997,11 18,10 11,True,True
201,9,0.7,0.8,-0.10000000000000009,1 3,10 11,True,True
202,10,0.6,0.5,0.09999999999999998,1 3,10 11,True,True
203,11,0.6,0.6,0.0,1 7,10 11,True,True
204,12,1.0,1.0,0.0,1 0,10 11,True,True
205,13,0.9,0.9,0.0,1 0,10 11,True,True
206,14,0.7,0.7,0.0,1 4,10 11,True,True
207,15,0.6,0.6,0.0,1 5,10 11,True,True
208,0,0.6,0.5,0.09999999999999998,16 3,10 11,True,True
209,1,0.7,0.6,0.09999999999999998,1 2,10 11,True,True
210,2,0.7,0.7,0.0,11 0,10 11,True,True
211,3,1.0,1.0,0.0,21 1,10 11,True,True
212,4,0.8,0.9,-0.09999999999999998,16 0,10 11,True,True
213,5,0.7,0.7,0.0,1 4,10 11,True,True
214,6,1.0,1.0,0.0,16 0,10 11,True,True
215,7,1.0,1.0,0.0,11 0,10 11,True,True
216,8,0.5,0.7,-0.19999999999999996,6 22,10 11,True,True
217,9,0.8,0.7,0.10000000000000009,1 0,10 11,True,True
218,10,0.6,0.6,0.0,1 2,10 11,True,True
219,11,0.6,0.6,0.0,1 2,10 11,True,True
220,12,1.0,1.0,0.0,11 0,10 11,True,True
221,13,0.8,0.9,-0.09999999999999998,1 4,10 11,True,True
222,14,0.7,0.7,0.0,6 4,10 11,True,True
223,15,0.6,0.6,0.0,1 25,10 11,True,True
224,0,0.6,0.5,0.09999999999999998,1 2,10 11,True,True
225,1,0.5,0.6,-0.09999999999999998,1 2,10 11,True,True
226,2,0.7,0.8,-0.10000000000000009,6 4,10 11,True,True
227,3,1.0,1.0,0.0,16 0,10 11,True,True
228,4,0.8,0.8,0.0,1 0,10 11,True,True
229,5,0.7,0.7,0.0,1 0,10 11,True,True
230,6,1.0,1.0,0.0,6 0,10 11,True,True
231,7,1.0,1.0,0.0,1 0,10 11,True,True
232,8,0.7,0.6,0.09999999999999998,1 0,10 11,True,True
233,9,0.7,0.7,0.0,1 0,10 11,True,True
234,10,0.6,0.5,0.09999999999999998,1 27,10 11,True,True
235,11,0.6,0.6,0.0,1 2,10 11,True,True
236,12,1.0,1.0,0.0,1 0,10 11,True,True
237,13,0.8,0.9,-0.09999999999999998,1 29,10 11,True,True
238,14,0.7,0.7,0.0,1 9,10 11,True,True
239,15,0.7,0.6,0.09999999999999998,11 4,10 11,True,True
240,0,0.7,0.5,0.19999999999999996,11 3,10 11,True,True
241,1,0.6,0.6,0.0,1 10,10 11,True,True
242,2,0.7,0.7,0.0,6 0,10 11,True,True
243,3,1.0,1.0,0.0,6 0,10 11,True,True
244,4,0.8,0.8,0.0,1 4,10 11,True,True
245,5,0.7,0.7,0.0,16 4,10 11,True,True
246,6,1.0,1.0,0.0,1 0,10 11,True,True
247,7,1.0,1.0,0.0,11 0,10 11,True,True
248,8,0.6,0.6,0.0,21 0,10 11,True,True
249,9,0.7,0.7,0.0,1 4,10 11,True,True
250,10,0.6,0.7,-0.09999999999999998,1 3,10 11,True,True
251,11,0.6,0.6,0.0,1 2,10 11,True,True
252,12,1.0,1.0,0.0,1 0,10 11,True,True
253,13,0.8,0.9,-0.09999999999999998,1 24,10 11,True,True
