update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
11,C0,48,96,528,-0.022087974657615004,0.1306418450845019,0.008782968856394291,-0.01729804091155529,1.3937273025512695,-0.01719968393445015,0.1041666641831398,0.42692071199417114,0.09160783141851425,0.86875,1.38734769821167,1.4148567914962769,,,,,,,,,,,,,
12,C0,48,96,576,-0.017292397682865446,0.13261364257186203,0.00829428993165493,-0.0232706218957901,1.4583759307861328,0.024600304663181305,0.0729166641831398,0.3350710868835449,0.01700328290462494,0.88125,1.5483609437942505,1.3964060544967651,,,,,,,,,,,,,
13,C0,48,96,624,0.034161954328417794,0.13167243216400343,0.008908345364034176,-0.015628928318619728,1.4298592805862427,-0.004592671524733305,0.0833333358168602,0.41701680421829224,0.06978698819875717,0.8624999999999999,1.5704220533370972,1.2613648176193237,,,,,,,,,,,,,
14,C0,48,96,672,-0.036529786167045414,0.1297071615321349,0.008396186865866184,-0.037950899451971054,1.3690251111984253,-0.02139764465391636,0.4166666567325592,0.6036032438278198,0.07365527004003525,0.88125,1.3978136777877808,1.3050346374511719,,,,,,,,,,,,,
15,C0,48,96,720,0.04459834997107587,0.13485066525698466,0.009264328517019749,-0.03761060908436775,1.3135777711868286,0.002404875122010708,0.0833333358168602,0.5929551720619202,0.09984727948904037,0.8625000000000002,1.4875344038009644,1.158851981163025,,,,,,,,,,,,,
16,C0,48,96,768,-0.043573463308314464,0.1274258518329115,0.008443767204880714,-0.006067243870347738,1.3347889184951782,0.00924889836460352,0.0833333358168602,0.593217670917511,0.10077804327011108,0.86875,1.5777605772018433,1.088492512702942,,,,,,,,,,,,,
17,C0,48,96,816,0.03094032679001492,0.12709885355456044,0.008249548263847828,-0.0027284647803753614,1.3437256813049316,0.015981711447238922,0.0,0.28191980719566345,0.07593642920255661,0.86875,1.5987178087234497,1.1038429737091064,,,,,,,,,,,,,
18,C0,48,96,864,-0.04551190236707526,0.12558400625863797,0.008315478451550007,-0.009340685792267323,1.3341811895370483,0.015302049927413464,0.0,0.42814990878105164,0.11971832811832428,0.8937499999999999,1.5429420471191406,1.110128402709961,,,,,,,,,,,,,
19,C0,48,96,912,0.03753271083533766,0.11932015523036688,0.007515168283134699,-0.021002257242798805,1.3431949615478516,0.005581803619861603,0.0,0.6313763856887817,0.09336749464273453,0.8937500000000002,1.5485280752182007,1.1465224027633667,,,,,,,,,,,,,
20,C0,48,96,960,0.021986489022771543,0.1298159795263871,0.008518398739397526,-0.01217633206397295,1.3412055969238281,0.011540833860635757,0.1458333283662796,0.6692856550216675,0.05832000449299812,0.84375,1.6289407014846802,1.072178840637207,0.86875,0.14882351124738324,1.0,0.7,1.0,1.0,"[22, 25]",1.0,1,-0.0,1.6295106410980225,1.3995804496937327,0.8666666666666667
21,C0,48,96,1008,-0.05294338626414535,0.12665206743948135,0.008614608086645603,-0.012680307030677795,1.4232321977615356,0.0027389980386942625,0.125,0.26134100556373596,0.13132695853710175,0.88125,1.6715680360794067,1.1875320672988892,,,,,,,,,,,,,
22,C0,48,96,1056,0.053360972061753296,0.13583972057090768,0.009952202439308167,-0.009492683224380016,1.4165464639663696,0.009618137963116169,0.02083333395421505,0.32719510793685913,0.11958122998476028,0.8624999999999999,1.6657047271728516,1.156575322151184,,,,,,,,,,,,,
23,C0,48,96,1104,-0.04819623711456853,0.12845838589255737,0.00875368807464838,-0.016441896557807922,1.3657841682434082,0.013878590427339077,0.0520833320915699,0.29786863923072815,0.10631904751062393,0.8812500000000001,1.6459370851516724,1.0829869508743286,,,,,,,,,,,,,
24,C0,48,96,1152,0.03202333537489178,0.1341926544801612,0.009075077250599861,-0.024612411856651306,1.3520570993423462,0.009606335312128067,0.0520833320915699,0.4493829607963562,0.05989479646086693,0.86875,1.61874258518219,1.0851547718048096,,,,,,,,,,,,,
25,C0,48,96,1200,-0.020875746096173903,0.13237386591735603,0.008729693479835987,-0.02517268806695938,1.339308738708496,0.026992054656147957,0.0833333358168602,0.4044119715690613,0.036019787192344666,0.86875,1.6150094270706177,1.0541387796401978,,,,,,,,,,,,,
26,C0,48,96,1248,0.031814532113571985,0.13089365089052996,0.008561299182474613,-0.023435896262526512,1.3656924962997437,0.016048679128289223,0.1458333283662796,0.3083927631378174,0.0649438202381134,0.8562500000000001,1.6008425951004028,1.1209299564361572,,,,,,,,,,,,,
27,C0,48,96,1296,-0.013167040223876611,0.12916009157573102,0.008186104707419872,-0.037231024354696274,1.3061736822128296,0.016756797209382057,0.2916666567325592,0.4180225729942322,0.021439079195261,0.84375,1.5988081693649292,1.005357265472412,,,,,,,,,,,,,
28,C0,48,96,1344,-0.014264461221794268,0.12382570636752308,0.007786743342876434,-0.01604248583316803,1.253010630607605,0.03429512307047844,0.1875,0.2634531259536743,0.04917247220873833,0.86875,1.5536351203918457,0.9523078799247742,,,,,,,,,,,,,
29,C0,48,96,1392,0.016701702393591426,0.14032859718630006,0.00966665893793106,-0.021940678358078003,1.2077372074127197,0.004834140185266733,0.1041666641831398,0.3004010021686554,0.04951984062790871,0.8624999999999999,1.4760289192199707,0.9283435344696045,,,,,,,,,,,,,
30,C0,48,96,1440,-0.03670459472139675,0.13669124548638267,0.009473426267504692,-0.03052615560591221,1.185681700706482,0.038652028888463974,0.2083333283662796,0.29297804832458496,0.09815758466720581,0.8875000000000001,1.3599562644958496,0.9785849452018738,0.83125,0.14882351124738324,0.7,0.7,1.0,1.0,"[14, 2]",0.5347222222222222,2,0.6907339733126091,1.3604328632354736,0.8836327991965744,0.83125
31,C0,48,96,1488,0.05842978140711786,0.1364374883769398,0.010410462506115437,-0.012990488670766354,1.091044306755066,0.04522984102368355,0.1458333283662796,0.389908105134964,0.1452016979455948,0.85,1.296530842781067,0.8604651093482971,,,,,,,,,,,,,
32,C0,48,96,1536,-0.06355439276744919,0.13380779392993986,0.009814510121941566,-0.01592431403696537,1.0970549583435059,0.006490411702543497,0.0520833320915699,0.22629445791244507,0.15630514919757843,0.875,1.30746591091156,0.891026496887207,,,,,,,,,,,,,
