update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
295,0.1771875023841858,0.1771875023841858,MoE-sBOED,0.05522012710571289,18880,2.3843772411346436,1.3853882551193237,0.002590542659163475,0.2637752890586853,0.1209372729063034,,,,,,,,,,,
296,0.18937501311302185,0.18937501311302185,MoE-sBOED,0.05518937110900879,18944,2.445711612701416,1.3849215507507324,0.002811233513057232,0.2665718197822571,0.12096773087978363,,,,,,,,,,,
297,0.17015625536441803,0.17015625536441803,MoE-sBOED,0.05523800849914551,19008,2.4105441570281982,1.384881615638733,0.003311085281893611,0.26364219188690186,0.12098217755556107,,,,,,,,,,,
298,0.18140624463558197,0.1876562535762787,MoE-sBOED,0.055289268493652344,19072,2.5501084327697754,1.3848145008087158,0.003867718856781721,0.26179641485214233,0.12103158235549927,,,,,,,,,,,
299,0.18187500536441803,0.18187500536441803,MoE-sBOED,0.05522727966308594,19136,2.6770377159118652,1.3847100734710693,0.003635677043348551,0.26690763235092163,0.12098237127065659,,,,,,,,,,,
300,0.17156250774860382,0.17781251668930054,MoE-sBOED,0.05534005165100098,19200,2.6078083515167236,1.384071707725525,0.003301033517345786,0.275089293718338,0.12095794826745987,0.18234374999999997,0.09187500000000001,31,2.8871533053747656,0.2421875,0.046875,1,0.002109375,0.09187500000000001,0,diagnostic_only
301,0.17624999582767487,0.17624999582767487,MoE-sBOED,0.055387258529663086,19264,2.6082823276519775,1.3849785327911377,0.0028411834500730038,0.26710012555122375,0.12096989154815674,,,,,,,,,,,
302,0.19078123569488525,0.19078123569488525,MoE-sBOED,0.055191993713378906,19328,2.5442614555358887,1.3855141401290894,0.0023144956212490797,0.25877249240875244,0.12099697440862656,,,,,,,,,,,
303,0.17906250059604645,0.17906250059604645,MoE-sBOED,0.05511331558227539,19392,2.5905280113220215,1.3854843378067017,0.0022415430285036564,0.2560272812843323,0.1210201308131218,,,,,,,,,,,
304,0.18000000715255737,0.18000000715255737,MoE-sBOED,0.05522012710571289,19456,2.589885711669922,1.3853485584259033,0.002176719717681408,0.25628504157066345,0.12100046873092651,,,,,,,,,,,
