system,history_id,history_step,b_star,A_star,action_star,J_star_continuous,J_star_snapped,second_action,second_bus,second_amplitude,gap_best_second_continuous,gap_best_second_snapped
ieee5,101,1,1,0.1,11,0.9109375000000001,0.90625,6,1,0.075,0.0007812499999999556,0.0015625000000000222
ieee5,102,1,1,0.05,1,0.8500000000000001,0.86875,6,1,0.075,0.0,0.0
ieee5,103,1,1,0.05,1,0.8625,0.89375,6,1,0.075,0.0,0.0
ieee5,104,1,3,0.05,3,0.74453125,0.7875,4,4,0.05,0.0,0.0
ieee5,105,1,1,0.05,1,0.83125,0.8718750000000001,6,1,0.075,0.0007812500000000666,0.0015625000000000222
ieee5,106,1,1,0.05,1,0.6140625,0.7093750000000001,6,1,0.075,0.0,0.0
ieee5,107,1,1,0.05,1,0.6796875,0.7421875,6,1,0.075,0.0,0.0
ieee5,108,1,4,0.3,29,0.7515625000000001,0.8109375000000001,4,4,0.05,0.0015624999999999112,0.0015624999999999112
ieee5,109,1,1,0.05,1,0.8500000000000001,0.8812500000000001,6,1,0.075,0.0,0.0
ieee5,110,1,1,0.05,1,0.89140625,0.9015625,6,1,0.075,0.0031250000000000444,0.006249999999999867
ieee5,111,1,1,0.15,16,0.87421875,0.8921875,21,1,0.2,0.0,0.0015625000000000222
ieee5,112,1,1,0.05,1,0.8296875000000001,0.878125,6,1,0.075,0.0007812499999999556,0.0015625000000000222
ieee5,113,1,1,0.05,1,0.915625,0.903125,6,1,0.075,0.0,0.0
ieee5,114,1,1,0.05,1,0.88984375,0.890625,6,1,0.075,0.0007812499999999556,0.0
ieee5,115,1,1,0.05,1,0.8390625,0.8796875000000001,6,1,0.075,0.0015625000000000222,0.0015625000000000222
ieee5,116,1,3,0.05,3,0.7390625,0.7765624999999999,4,4,0.05,0.0,0.0
ieee5,117,1,1,0.05,1,0.84296875,0.8656250000000001,6,1,0.075,0.0,0.0
ieee5,118,1,4,0.15,19,0.8273437500000002,0.8656250000000001,24,4,0.2,0.0,0.0
ieee5,119,1,4,0.05,4,0.73671875,0.7765625,9,4,0.075,0.0,0.0
ieee5,120,1,1,0.05,1,0.8843750000000001,0.9109375,29,4,0.3,0.0007812499999999556,-0.007812499999999889
ieee5,121,1,1,0.05,1,0.8460937500000001,0.8796875000000002,6,1,0.075,0.0,0.0
ieee5,122,1,1,0.05,1,0.878125,0.8953125000000001,6,1,0.075,0.0031250000000000444,0.0015625000000000222
ieee5,123,1,1,0.15,16,0.88671875,0.9,21,1,0.2,0.0007812499999999556,0.0015625000000000222
ieee5,124,1,1,0.15,16,0.8796875,0.8921875,1,1,0.05,0.00390625,0.004687499999999845
ieee5,125,1,1,0.05,1,0.909375,0.8953125,6,1,0.075,0.0,0.0
ieee5,126,1,1,0.05,1,0.8406250000000001,0.8687500000000001,6,1,0.075,0.0,0.0
ieee5,127,1,1,0.05,1,0.8382812500000001,0.8859374999999999,6,1,0.075,0.0007812500000000666,0.0015625000000000222
ieee5,128,1,1,0.05,1,0.696875,0.7484375000000001,6,1,0.075,0.0,0.0
ieee5,129,1,1,0.05,1,0.86328125,0.8875000000000001,6,1,0.075,0.0007812500000000666,0.0015625000000000222
ieee5,130,1,3,0.05,3,0.7289062500000001,0.8,8,3,0.075,0.0,0.0
ieee5,131,1,1,0.05,1,0.703125,0.7515624999999999,3,3,0.05,0.0,0.0
ieee5,132,1,3,0.05,3,0.6265625,0.71875,8,3,0.075,0.0,0.0
ieee5,133,1,1,0.05,1,0.88046875,0.9,6,1,0.075,0.0,0.0
ieee5,134,1,1,0.05,1,0.9460937500000001,0.9203125000000001,6,1,0.075,0.0,0.0
ieee5,135,1,1,0.15,16,0.8945312500000001,0.91875,11,1,0.1,0.0007812499999999556,0.0015625000000000222
ieee5,136,1,1,0.15,16,0.8835937500000001,0.8859375,11,1,0.1,0.0031249999999999334,0.0031249999999999334
ieee5,137,1,1,0.05,1,0.91796875,0.9125,6,1,0.075,0.0,0.0
ieee5,138,1,1,0.05,1,0.8265625000000001,0.8578125000000001,6,1,0.075,0.0,0.0
ieee5,139,1,1,0.15,16,0.88359375,0.8968750000000001,21,1,0.2,0.0007812500000001776,0.004687499999999956
ieee5,140,1,3,0.05,3,0.7390625000000001,0.7765625,4,4,0.05,0.0,0.0
ieee5,141,1,1,0.075,6,0.8601562500000001,0.89375,11,1,0.1,0.0,0.0
ieee5,142,1,1,0.05,1,0.6203125,0.7140625,6,1,0.075,0.0,0.0
ieee5,143,1,3,0.05,3,0.7390625,0.771875,8,3,0.075,0.0,0.0
ieee5,144,1,4,0.1,14,0.7203125000000001,0.7875000000000001,19,4,0.15,0.0,0.0
