theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
4,20,"[18, 19, 25]","[3.0813992027916206, 2.1284029293721685, 1.5221658033602952]",0.6,0.4,0.19999999999999996,1.0,True,True,False,True,3.1703887020654897,-0.1882653390647306,True,True,1.0002291392537659,0.999885446287598,0.050029938975056566,0.0029661745902031054,-0.34997006102494344,0.0745986201800406,0,0,0,nan,nan,0.0016493153913567464,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
5,21,"[18, 19, 25]","[6.530931663262513, 2.246517526383541, 1.7960637675898232]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0,1.0,0.05000000000000001,8.66491012352687e-10,-0.19999999999999998,0.07421061000786722,0,0,0,nan,nan,0.001882596096644799,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
6,22,"[18, 19, 25]","[3.3849174478890034, 3.0265603503849445, 1.8720291535606008]",0.7,0.6,0.09999999999999998,1.0,True,True,False,True,3.8099811078601817,-0.18265218509163814,True,True,1.000907426358245,0.999546492575544,0.10011335799635063,0.005322012800234554,-0.49988664200364935,0.07203906099312007,0,0,0,nan,nan,0.0019291483331471682,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
7,23,"[18, 19, 26]","[4.860936768921046, 6.380857204381307, 2.7127152069525136]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0,1.0,0.45,1.4201089720463124e-19,-0.14999999999999997,0.07800452294759452,0,0,0,nan,nan,0.002215182331080238,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
8,24,"[18, 19, 25]","[6.238824139200565, 2.5346121192327784, 1.5855012941143767]",0.6,0.1,0.5,1.0,True,True,False,True,7.546941317766077,-0.12253256195015293,True,True,1.0000018247562759,0.9999990876226945,0.050000501807518076,0.0005253511997979553,-0.04999949819248193,0.07296724896878004,0,0,0,nan,nan,0.0019527850672602654,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
9,25,"[18, 19, 25]","[7.385179238348609, 2.7498578720550775, 2.261497515797696]",0.8,0.35,0.45000000000000007,1.0,True,True,False,True,9.934056000092648,-0.0872675627664812,True,True,1.0,1.0,0.25,1.0406149204023276e-10,-0.09999999999999998,0.07748460001312196,0,0,0,nan,nan,0.0018116153466204803,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
10,26,"[18, 19, 25]","[3.5144993696110807, 4.871975169644098, 1.6827408788626805]",1.0,0.15,0.85,1.0,False,False,False,True,6.166435577619002,-0.01347753697974646,True,True,1.0,1.0,0.45,7.037832199644308e-10,0.30000000000000004,0.07763019599951804,0,0,0,nan,nan,0.0019869623550524316,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
11,27,"[18, 19, 25]","[3.3258550985902016, 3.3417091297696464, 3.633155437833184]",1.0,0.1,0.9,1.0,False,False,False,True,3.83499396088034,-0.012039441873099573,True,True,1.0,1.0,0.45,1.0272660473075774e-15,0.35,0.0732262940146029,0,0,0,nan,nan,0.0016486576447884242,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
12,28,"[18, 19, 25]","[3.828720110045104, 2.399520255234997, 2.607891123722658]",0.6,0.6,0.0,1.0,True,True,False,True,7.120737653796268,-0.24535380365019713,True,True,1.0070480184534094,0.9964883223469401,0.050351167765306,0.00591552683462849,-0.549648832234694,0.0787943359464407,0,0,0,nan,nan,0.001970769992719094,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
13,29,"[18, 19, 25]","[3.4371663874308442, 2.2498715803698044, 2.4139483354687012]",0.9,0.45,0.45,1.0,True,True,False,True,3.4856548583706313,-0.06648571406120514,True,True,1.3953982550815884,0.8291210159590423,0.25728025407595195,0.09410079583227804,-0.19271974592404806,0.077004699036479,0,0,0,nan,nan,0.002407124421248833,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T3/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
