method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
myopic,13,301,0.96,0.0,0.96,True,0.5744496411643922,103,103,35.333333333333336,48 0 1,6.493173154 5.494592452 1.678661693
myopic,14,302,0.96,0.0,0.96,True,0.5800861120223999,87,101,30.0,21 0 1,8.343320527 9.480961267 3.000660768
myopic,15,303,0.96,0.0,0.96,True,0.582882524933666,103,103,35.333333333333336,48 0 1,4.860866243 3.692771625 1.823885488
myopic,16,304,0.96,0.0,0.96,True,0.5798247461207211,103,104,35.333333333333336,48 0 1,4.802188883 4.636237459 1.416780218
myopic,17,305,0.96,0.0,0.96,True,0.5757700630929321,103,103,35.333333333333336,48 0 1,6.268802505 3.706780213 3.462575704
myopic,18,306,0.96,0.0,0.96,True,0.5806816618423909,103,103,35.333333333333336,48 0 1,7.942966577 4.869523015 1.565880702
myopic,19,307,0.96,0.0,0.96,True,0.5800163061358035,103,104,35.333333333333336,48 0 1,8.228534382 6.433852142 1.724401581
myopic,20,308,0.96,0.0,0.96,True,0.5817197728902102,103,103,35.333333333333336,21 0 1,4.554251363 3.830114252 2.064241535
myopic,21,309,0.96,0.0,0.96,True,0.5804276508279145,103,103,35.333333333333336,48 0 1,7.707183746 4.881093479 1.416298979
myopic,22,310,0.96,0.08,0.88,True,0.5763709279708564,62,71,21.666666666666668,48 0 1,8.551143895 9.841369839 3.10081774
myopic,23,311,0.96,0.0,0.96,True,0.5677642300724983,103,103,35.333333333333336,48 0 1,7.413005206 5.831080655 1.449528025
myopic,24,312,0.96,0.0,0.96,True,0.5727445301599801,103,103,35.333333333333336,48 0 1,5.300720287 11.59065052 3.193292803
myopic,25,313,0.96,0.0,0.96,True,0.582285403041169,103,103,35.333333333333336,48 0 1,7.700936908 4.297768648 2.630975663
myopic,26,314,0.96,0.0,0.96,True,0.5741855429951102,103,103,35.333333333333336,48 0 1,4.327958607 3.615506813 1.316177645
myopic,27,315,0.96,0.0,0.96,True,0.5753071189392358,22,23,8.333333333333334,48 52 0,6.946522686 0.7222634532 4.422295736
myopic,28,316,0.96,0.0,0.96,True,0.5753802510444075,103,103,35.333333333333336,21 0 1,5.822839965 4.79672516 1.461982322
myopic,29,317,0.96,0.0,0.96,True,0.5801181579008698,103,104,35.333333333333336,48 0 1,4.757142542 3.977491236 2.330351638
myopic,30,318,0.96,0.0,0.96,True,0.5808406670112163,103,103,35.333333333333336,48 0 1,4.247285347 8.617341283 2.399063428
myopic,31,319,0.96,0.0,0.96,True,0.5750432908535004,103,105,35.333333333333336,21 0 1,5.481067054 8.314940659 1.972924367
myopic,0,320,0.96,0.0,0.96,True,0.573997070081532,103,103,35.333333333333336,48 0 1,4.110120229 4.575747341 1.337245421
myopic,1,321,0.96,0.0,0.96,True,0.585027864901349,103,103,35.333333333333336,48 0 1,7.525505237 9.398358797 1.461278574
myopic,2,322,0.96,0.0,0.96,True,0.5862366179935634,103,104,35.333333333333336,12 0 1,7.617231898 6.57265273 2.731602639
myopic,3,323,0.96,0.0,0.96,True,0.5823505320586264,103,103,35.333333333333336,48 0 1,6.026275123 5.890115484 3.195250657
myopic,4,324,0.96,0.32,0.6399999999999999,True,0.5713876879308373,103,103,35.333333333333336,48 0 1,11.84920646 10.09984292 2.054986266
myopic,5,325,0.96,0.0,0.96,True,0.5783534760121256,103,104,35.333333333333336,21 0 1,8.063161658 4.830378793 2.036182614
myopic,6,326,0.96,0.0,0.96,True,0.5810122608672827,103,103,35.333333333333336,48 0 1,4.43607085 7.487002073 3.899256849
myopic,7,327,0.96,0.0,0.96,True,0.6236236351542175,56,57,19.666666666666668,48 1 0,6.934386224 1.598265748 3.570899189
myopic,8,328,0.96,0.0,0.96,True,0.5765409048181027,103,103,35.333333333333336,48 0 1,5.327639984 3.277048168 2.308664772
myopic,9,329,0.96,0.0,0.96,True,0.5867949360981584,103,103,35.333333333333336,48 0 1,4.479325213 6.4450189 1.546264461
myopic,10,330,0.96,0.0,0.96,True,0.584751961985603,103,103,35.333333333333336,3 0 1,6.26174007 4.058062881 3.116276957
myopic,11,331,0.96,0.0,0.96,True,0.5787106729112566,103,103,35.333333333333336,48 0 1,4.265757951 3.860954006 1.695943169
myopic,12,332,0.96,0.0,0.96,True,0.5785862770862877,51,54,18.0,48 37 0,6.907195009 3.172900643 3.09781206
myopic,13,333,0.96,0.0,0.96,True,0.5786470700986683,103,103,35.333333333333336,48 0 1,6.469359958 5.485397702 1.661770973
myopic,14,334,0.96,0.0,0.96,True,0.5833082310855389,53,59,18.666666666666668,48 0 1,8.453699512 9.359483711 3.158102473
myopic,15,335,0.96,0.0,0.96,True,0.5736940440256149,103,104,35.333333333333336,12 0 1,4.948953991 3.727725139 1.657381729
myopic,16,336,0.96,0.0,0.96,True,0.5783191570080817,103,103,35.333333333333336,48 0 1,4.82438382 4.699556469 1.476492352
myopic,17,337,0.96,0.0,0.96,True,0.575769443064928,103,103,35.333333333333336,48 0 1,6.213118566 3.437703374 3.357318397
myopic,18,338,0.96,0.0,0.96,True,0.5836900470312685,103,105,35.333333333333336,48 0 1,7.982571659 4.933591482 1.438720765
myopic,19,339,0.96,0.0,0.96,True,0.5802358679939061,103,105,35.333333333333336,48 0 1,8.130963275 6.473799576 1.47439382
myopic,20,340,0.96,0.0,0.96,True,0.5757435290142894,103,103,35.333333333333336,48 0 1,4.462210682 3.618755485 2.116246924
myopic,21,341,0.96,0.0,0.96,True,0.5823171050287783,103,105,35.333333333333336,48 0 1,7.709722564 4.854883982 1.425242071
myopic,22,342,0.96,0.08,0.88,True,0.5813222229480743,56,57,19.666666666666668,48 0 1,8.445536787 9.683734907 3.100702151
myopic,23,343,0.96,0.0,0.96,True,0.5841335230506957,103,103,35.333333333333336,48 0 1,7.310643789 5.842638307 1.637422572
myopic,24,344,0.96,0.0,0.96,True,0.5779397268779576,103,103,35.333333333333336,21 0 1,5.437373747 11.66916774 3.147286573
myopic,25,345,0.96,0.0,0.96,True,0.5870540870819241,103,103,35.333333333333336,48 0 1,7.754150514 4.331293939 2.612482376
myopic,26,346,0.96,0.0,0.96,True,0.5783585989847779,103,103,35.333333333333336,48 0 1,4.29181531 3.80851903 1.339299637
myopic,27,347,0.96,0.0,0.96,True,0.578967098146677,69,69,24.0,48 2 0,7.061063828 2.280391447 4.409999594
myopic,28,348,0.96,0.0,0.96,True,0.5786962239071727,103,103,35.333333333333336,48 0 1,5.868764239 4.930118256 1.475319172
myopic,29,349,0.96,0.0,0.96,True,0.5760277900844812,103,104,35.333333333333336,48 0 1,4.796967479 3.947218438 2.427276902
myopic,30,350,0.96,0.0,0.96,True,0.5761703429743648,103,103,35.333333333333336,48 0 1,4.287142908 8.42128935 2.422659797
myopic,31,351,0.96,0.0,0.96,True,0.5777972061187029,103,103,35.333333333333336,48 0 1,5.279390474 8.178242659 1.906417334
myopic,0,352,0.96,0.0,0.96,True,0.5755844560917467,103,104,35.333333333333336,48 0 1,4.179569558 4.538512641 1.170034343
myopic,1,353,0.96,0.0,0.96,True,0.5911055270116776,105,106,36.0,12 0 1,7.508432303 9.389052112 1.566624783
myopic,2,354,0.96,0.0,0.96,True,0.5936578100081533,103,103,35.333333333333336,48 0 1,7.614617871 6.488152525 2.857640359
