rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
840,15,16 18,1.6142734 3.5246116,1.0,0.45,0.2,0.0506655971158313,0.25,True,True,True,False
841,5,27 10,2.923024 1.4204704,1.0,0.7,0.25,0.296453486875141,0.44999999999999996,True,True,True,False
842,6,10 9,1.487048 2.8606768,1.0,1.0,0.6,0.3817315078900701,0.4,True,False,False,False
843,3,17 7,1.8982797 1.7919033,1.0,0.7,0.5,0.16140375770059806,0.19999999999999996,True,True,True,False
844,14,1 8,2.1707361 4.8154975,1.0,0.7,0.3,0.2999999999878239,0.39999999999999997,True,True,True,False
845,1,25 7,2.5362502 1.7997788,1.0,1.0,0.1,0.1695419003150538,0.9,True,False,False,False
846,0,20 6,1.7438455 1.5396343,1.0,0.6,0.1,0.06178133112365205,0.5,True,True,True,False
847,4,20 10,1.4020065 1.1538772,1.0,1.0,0.4,0.32759045063389713,0.6,True,False,False,False
848,14,27 6,1.4014717 2.112034,1.0,0.7,0.3,0.29675563480314016,0.39999999999999997,True,True,True,False
849,11,18 19,3.3751984 3.4744119,1.0,0.8,0.1,0.3930009168610311,0.7000000000000001,True,True,True,False
850,13,9 1,2.2671721 3.0390604,1.0,0.9,0.45,0.4339322891307423,0.45,True,True,True,False
851,11,26 28,1.272602 3.4607645,1.0,0.6,0.1,0.06712591147059557,0.5,True,True,True,False
852,7,7 22,1.2963933 1.569799,1.0,1.0,0.6,0.35330459255877633,0.4,True,False,False,False
853,5,0 7,1.3503532 2.2503787,1.0,0.8,0.25,0.29839124167444225,0.55,True,True,True,False
854,6,13 17,3.4235065 1.4644124,1.0,0.7,0.6,0.2650554616149901,0.09999999999999998,True,True,True,False
855,14,7 15,1.0388548 2.6699228,1.0,0.8,0.3,0.3155652454673286,0.5,True,True,True,False
856,15,24 16,2.5819448 1.6142734,1.0,0.7,0.2,0.1469982111331115,0.49999999999999994,True,True,True,False
857,1,26 4,1.607369 6.5666226,1.0,0.6,0.1,0.20014148334280157,0.5,True,True,True,False
858,6,6 28,3.4916188 3.7912301,1.0,0.9,0.6,0.4500001399308895,0.30000000000000004,True,True,True,False
859,4,0 2,1.1343399 1.4375457,1.0,0.9,0.4,0.33579108778097316,0.5,True,True,True,False
860,13,29 1,2.3242861 3.0390604,1.0,0.8,0.45,0.40000334680333904,0.35000000000000003,True,True,True,False
861,7,2 17,1.419378 1.4676337,1.0,1.0,0.6,0.3657879815602293,0.4,True,False,False,False
862,12,4 5,2.410898 1.8658225,1.0,0.7,0.6,0.16651470835261906,0.09999999999999998,True,True,True,False
863,4,25 14,1.4507516 2.2151918,1.0,0.7,0.4,0.26060516903532577,0.29999999999999993,True,True,True,False
