method,theta_test_id,rollout_id,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions,sequence,y_obs
random,2,146,0.8,0.3,0.5,True,0.0001563031692057848,0,0,nan,12 21 1,1.861831382 1.899035491 2.072631426
random,3,147,1.0,0.5,0.5,True,0.00015655090101063251,0,0,nan,29 27 4,5.210502781 2.108452127 4.411480111
random,4,148,0.9,0.4,0.5,True,0.00015176297165453434,0,0,nan,17 4 23,1.700696299 2.202614052 3.07791194
random,5,149,0.6,0.25,0.35,True,0.0001588359009474516,0,0,nan,23 12 28,6.736881532 2.39953212 7.007479965
random,6,150,1.0,0.6,0.4,True,0.00016116490587592125,0,0,nan,7 21 19,1.345450375 3.061329482 2.901041804
random,7,151,1.0,0.6,0.4,True,0.0001606559380888939,0,0,nan,6 12 19,3.637114362 1.492251537 6.432644063
random,8,152,0.9,0.1,0.8,True,0.0001610228791832924,0,0,nan,10 8 5,1.545774409 6.00144731 1.522872205
random,9,153,0.8,0.35,0.45000000000000007,True,0.0001575099304318428,0,0,nan,29 8 17,2.892610349 7.101321691 1.399192622
random,10,154,0.9,0.15,0.75,True,0.00015269708819687366,0,0,nan,7 8 9,2.062317846 3.501176045 4.679155912
random,11,155,1.0,0.1,0.9,True,0.0001602258998900652,0,0,nan,27 17 13,1.250386024 1.083427302 3.336859284
random,12,156,0.7,0.6,0.09999999999999998,True,0.00015796395018696785,0,0,nan,24 25 18,2.624252914 2.583478886 3.772166167
random,13,157,1.0,0.45,0.55,True,0.00015654508024454117,0,0,nan,7 11 20,1.315159041 2.762423532 2.319052931
random,14,158,0.9,0.3,0.6000000000000001,True,0.00015753787010908127,0,0,nan,26 20 17,1.854311021 2.747154951 1.16630162
random,15,159,1.0,0.2,0.8,True,0.00016780593432486057,0,0,nan,18 28 2,3.454283291 3.728605567 1.02619555
random,0,160,0.9,0.1,0.8,True,0.00017284182831645012,0,0,nan,17 11 19,2.655895625 1.301366615 4.075377047
random,1,161,0.9,0.1,0.8,True,0.00017511495389044285,0,0,nan,11 21 28,1.873897559 1.639423323 4.902681492
random,2,162,0.8,0.3,0.5,True,0.00017591705545783043,0,0,nan,25 4 29,1.696160756 4.236274929 4.83149122
random,3,163,0.9,0.5,0.4,True,0.0001791019458323717,0,0,nan,17 28 16,1.91246828 7.365666722 3.072828618
random,4,164,0.9,0.4,0.5,True,0.00018432503566145897,0,0,nan,13 17 8,2.875416261 1.564445707 3.015277211
random,5,165,0.6,0.25,0.35,True,0.00018020300194621086,0,0,nan,23 16 7,6.682612234 1.860334258 2.302930078
random,6,166,1.0,0.6,0.4,True,0.00018193386495113373,0,0,nan,6 10 4,3.566836834 1.49066315 2.768443026
random,7,167,1.0,0.6,0.4,True,0.00016782316379249096,0,0,nan,15 28 13,1.397858379 5.134078738 4.818134244
random,8,168,0.8,0.1,0.7000000000000001,True,0.0001614210195839405,0,0,nan,0 25 1,1.406136822 1.733715453 1.629599586
random,9,169,0.8,0.35,0.45000000000000007,True,0.00016336608678102493,0,0,nan,4 6 8,2.515226103 2.262025906 7.151597905
random,10,170,0.9,0.15,0.75,True,0.00016130413860082626,0,0,nan,27 19 15,2.673100693 4.908225121 1.535600802
random,11,171,0.6,0.1,0.5,True,0.00016012019477784634,0,0,nan,21 3 16,1.376871509 3.28809899 1.368290933
random,12,172,1.0,0.6,0.4,True,0.00015513505786657333,0,0,nan,6 27 5,3.564118662 1.571330753 2.105988143
random,13,173,1.0,0.45,0.55,True,0.00015486613847315311,0,0,nan,20 25 12,2.108381166 2.510499322 1.272721485
random,14,174,0.9,0.3,0.6000000000000001,True,0.00015288498252630234,0,0,nan,17 10 2,1.244611151 2.591962366 1.084497461
random,15,175,1.0,0.2,0.8,True,0.00015438487753272057,0,0,nan,3 15 2,3.371685105 3.161364647 1.018203427
random,0,176,1.0,0.1,0.9,True,0.00015245378017425537,0,0,nan,5 13 25,1.654293032 3.216310344 2.127123072
random,1,177,0.8,0.1,0.7000000000000001,True,0.0001609940081834793,0,0,nan,11 25 19,1.878288505 2.505828348 6.79143771
random,2,178,0.8,0.3,0.5,True,0.00017493893392384052,0,0,nan,12 3 15,1.964375649 3.529839214 1.522935281
random,3,179,1.0,0.5,0.5,True,0.00017128908075392246,0,0,nan,27 9 16,2.247181998 4.486454824 3.049619158
random,4,180,0.8,0.4,0.4,True,0.00018137414008378983,0,0,nan,20 8 4,1.388880195 2.829346269 2.133321433
random,5,181,0.6,0.25,0.35,True,0.00018400396220386028,0,0,nan,7 28 18,2.182419204 7.006330937 6.599593749
random,6,182,1.0,0.6,0.4,True,0.0001805571373552084,0,0,nan,29 2 23,3.239972675 1.304128134 3.661420762
random,7,183,1.0,0.6,0.4,True,0.00017372379079461098,0,0,nan,4 25 24,5.933841082 1.709743177 6.53683678
random,8,184,0.9,0.1,0.8,True,0.00016730185598134995,0,0,nan,20 8 25,1.743646306 6.03663834 1.748406091
random,9,185,0.8,0.35,0.45000000000000007,True,0.000163668068125844,0,0,nan,23 9 26,7.461883095 2.594921774 2.007633564
random,10,186,0.9,0.15,0.75,True,0.00015937094576656818,0,0,nan,14 1 28,4.5746378 1.682760121 3.729019368
random,11,187,1.0,0.1,0.9,True,0.00016166316345334053,0,0,nan,7 12 4,1.073404749 0.9970758045 3.262609304
random,12,188,0.7,0.6,0.09999999999999998,True,0.0001581690739840269,0,0,nan,24 23 3,2.592984426 3.937576277 3.727325869
random,13,189,1.0,0.45,0.55,True,0.00015841214917600155,0,0,nan,13 6 20,3.393139994 2.990900068 2.197120247
random,14,190,0.9,0.3,0.6000000000000001,True,0.00016079796478152275,0,0,nan,20 4 23,2.84667496 3.089324967 4.856837654
random,15,191,0.8,0.2,0.6000000000000001,True,0.00015577184967696667,0,0,nan,17 21 13,1.120020863 1.631980722 3.403330278
random,0,192,0.9,0.1,0.8,True,0.00015867315232753754,0,0,nan,19 16 3,4.071187453 1.622080108 2.915371437
random,1,193,0.8,0.1,0.7000000000000001,True,0.00015871808864176273,0,0,nan,15 18 4,2.443083671 4.661747222 6.582247566
random,2,194,0.9,0.3,0.6000000000000001,True,0.0001553311012685299,0,0,nan,17 2 18,2.060931351 1.935472402 3.677499064
random,3,195,1.0,0.5,0.5,True,0.0001575180795043707,0,0,nan,4 6 9,4.355824652 3.411157939 4.549808528
random,4,196,1.0,0.4,0.6,True,0.00015839398838579655,0,0,nan,15 3 6,1.358918896 2.881480016 2.829851354
random,5,197,0.6,0.25,0.35,True,0.0001657349057495594,0,0,nan,25 14 8,1.811227165 2.32726478 6.319294605
random,6,198,1.0,0.6,0.4,True,0.00019672117196023464,0,0,nan,16 6 5,3.233609847 3.537096316 1.437741937
random,7,199,1.0,0.6,0.4,True,0.00017549493350088596,0,0,nan,18 2 22,4.88976622 1.466319373 1.630780294
random,8,200,0.6,0.1,0.5,True,0.0001712590456008911,0,0,nan,5 9 25,1.530836701 2.437030144 1.710306056
random,9,201,0.8,0.35,0.45000000000000007,True,0.0001709209755063057,0,0,nan,22 3 28,1.493514362 7.054042148 7.869999497
random,10,202,0.6,0.15,0.44999999999999996,True,0.00016554282046854496,0,0,nan,22 14 21,2.417841636 4.5880413 1.617997136
random,11,203,1.0,0.1,0.9,True,0.00017427909187972546,0,0,nan,12 0 8,1.169204469 2.652641717 3.096940877
random,12,204,1.0,0.6,0.4,True,0.00016493303701281548,0,0,nan,1 10 11,3.790240866 1.931960066 3.474026249
