method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
advanced_random_init_dad,14,94,"[23, 28, 24]","[4.881468768406978, 5.253164306449947, 3.386342397187386]",0.9,0.3,0.6000000000000001,True,0.00398867460899055,0,0,nan
advanced_random_init_dad,15,95,"[23, 28, 24]","[3.420581592482991, 3.6586047954051306, 2.515701640204287]",0.82,0.2,0.6199999999999999,True,0.0038988777436316014,0,0,nan
advanced_random_init_dad,0,96,"[23, 28, 24]","[3.3245944772012868, 3.4965317640023708, 4.1781352889577414]",0.8200000000000001,0.1,0.7200000000000001,True,0.0038859569933265446,0,0,nan
advanced_random_init_dad,1,97,"[23, 28, 24]","[4.871058431183615, 4.971234135893554, 7.14457180288631]",0.7600000000000001,0.1,0.6600000000000001,True,0.0038535230327397586,0,0,nan
advanced_random_init_dad,2,98,"[23, 28, 24]","[3.723653577592913, 3.8793990990375735, 4.555651010713912]",0.8800000000000001,0.3,0.5800000000000001,True,0.0038782501593232154,0,0,nan
advanced_random_init_dad,3,99,"[23, 28, 24]","[6.9077400049553095, 7.230268819596278, 4.756774515764324]",0.8400000000000001,0.5,0.3400000000000001,True,0.0038900398649275303,0,0,nan
advanced_random_init_dad,4,100,"[23, 28, 24]","[3.037484776580946, 3.0904396838532344, 2.1993980265580064]",1.0,0.4,0.6,True,0.0037815681658685206,0,0,nan
advanced_random_init_dad,5,101,"[23, 28, 24]","[6.8539241699224425, 7.079520621693044, 2.4988115878925896]",0.72,0.25,0.47,True,0.0031257019843906166,0,0,nan
advanced_random_init_dad,6,102,"[23, 28, 24]","[3.4805185343324556, 3.6738722621558697, 3.0908337133447596]",1.0,0.6,0.4,True,0.003213655948638916,0,0,nan
advanced_random_init_dad,7,103,"[23, 28, 24]","[5.068137510650695, 5.208138241393801, 6.52576651558658]",1.0,0.6,0.4,True,0.003483909135684371,0,0,nan
