update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
24,C0,24,48,576,0.015517455289761242,0.1351428571860347,0.00891356635838747,-0.017911797389388084,0.9523268342018127,-0.010292191058397293,0.0416666679084301,0.4779079556465149,0.037074461579322815,0.875,0.7122263312339783,1.1660258769989014,,,,,,,,,,,,,
25,C0,24,48,600,0.010450764387846015,0.13370872992296728,0.008472568355500698,-0.008164934813976288,0.916430652141571,0.005258179735392332,0.0625,0.22475942969322205,0.015006803907454014,0.8374999999999999,0.6359068155288696,1.1619404554367065,,,,,,,,,,,,,
26,C0,24,48,624,0.0027334074576696008,0.13527778663364387,0.00910922884941101,-0.022032013162970543,0.7998207211494446,-0.009780485183000565,0.1041666641831398,0.37212708592414856,0.029247932136058807,0.8375,0.6518211960792542,0.9360485076904297,,,,,,,,,,,,,
27,C0,24,48,648,-0.005666326195001579,0.13817423462885886,0.009294088929891586,-0.011461894027888775,0.8052747249603271,0.00037649055593647063,0.02083333395421505,0.9985557794570923,0.006960811093449593,0.8374999999999999,0.6333405375480652,0.9885265827178955,,,,,,,,,,,,,
28,C0,24,48,672,0.00452720914781096,0.1294680439708994,0.008316250517964363,-0.01848280429840088,0.9506996273994446,-0.02040930651128292,0.2708333432674408,0.7609684467315674,0.012859308160841465,0.8249999999999998,0.7563319802284241,1.1933457851409912,,,,,,,,,,,,,
29,C0,24,48,696,-0.02068127856155234,0.12948910972019917,0.00808551162481308,-0.008933670818805695,0.9321323037147522,-0.01673097349703312,0.0833333358168602,0.796326756477356,0.02351480722427368,0.8249999999999998,0.88149094581604,0.9667704105377197,,,,,,,,,,,,,
30,C0,24,48,720,0.0032155268937349504,0.13562826935148353,0.008253906853497028,-0.02888535149395466,0.9366162419319153,-0.012336373329162598,0.0833333358168602,0.6895031332969666,0.023080693557858467,0.8624999999999999,0.8182545304298401,1.0051859617233276,0.8666666666666667,0.149071198499986,1.0,0.7,1.0,1.0,"[25, 9]",1.0,1,-0.0,0.821491539478302,1.1105972793367174,0.8333333333333334
31,C0,24,48,744,-0.024035434275865537,0.14058876706617654,0.0098858792334795,-0.004013031721115112,0.9033319354057312,-0.0010278093395754695,0.0,0.8301615118980408,0.03578351065516472,0.875,0.8178578019142151,1.008346676826477,,,,,,,,,,,,,
32,C0,24,48,768,0.022347758412361165,0.12654038137666646,0.007893773727118969,-0.03151262551546097,1.037906527519226,0.019632697105407715,0.1666666716337204,0.31161046028137207,0.007851023226976395,0.875,1.0606006383895874,1.0907292366027832,,,,,,,,,,,,,
33,C0,24,48,792,0.011400075366099697,0.13406984829342905,0.009130940772593021,-0.015353198163211346,1.1076680421829224,0.013904795981943607,0.125,0.7825971245765686,0.05404367670416832,0.85,1.2324076890945435,0.9815352559089661,,,,,,,,,,,,,
34,C0,24,48,816,-0.046223514899611455,0.12628014622307984,0.008084586821496487,-0.019645342603325844,1.1156805753707886,0.018808988854289055,0.1666666716337204,0.26436489820480347,0.0674414336681366,0.875,1.3701176643371582,0.8904604315757751,,,,,,,,,,,,,
35,C0,24,48,840,0.025512295385201788,0.1169150691096291,0.0064349789172410965,-0.01821756176650524,1.1993184089660645,-0.006227004807442427,0.125,0.6126007437705994,0.0091903330758214,0.8875000000000001,1.4965265989303589,0.9149339199066162,,,,,,,,,,,,,
